Model,Feature Set,Balanced Accuracy mean,Balanced Accuracy CI95,Precision mean,Precision CI95,Recall mean,Recall CI95,F1 (positive) mean,F1 (positive) CI95,Macro-F1 mean,Macro-F1 CI95,PR-AUC mean,PR-AUC CI95,AUC-ROC mean,AUC-ROC CI95,TP mean,TP CI95,TN mean,TN CI95,FP mean,FP CI95,FN mean,FN CI95
Logistic Regression,T,0.5003,0.0,0.4511,0.0,1.0,0.0,0.6217,0.0,0.3114,0.0,0.591,0.0,0.6351,0.0,4208.0,0.0,3.0,0.0,5121.0,0.0,0.0,0.0
Random Forest,T,0.6339,0.009,0.5483,0.0106,0.8351,0.018,0.6613,0.0021,0.6056,0.0149,0.7006,0.0004,0.7292,0.0002,3513.9,75.8669,2217.4,184.556,2906.6,184.556,694.1,75.8669
Gradient Boosting,T,0.6052,0.0,0.524,0.0,0.8282,0.0,0.6419,0.0,0.5719,0.0001,0.6761,0.0,0.7012,0.0,3485.0,0.0,1958.7,0.4183,3165.3,0.4183,723.0,0.0
Logistic Regression,T+O+W,0.7011,0.0,0.6245,0.0,0.7947,0.0,0.6994,0.0,0.6917,0.0,0.7551,0.0,0.7833,0.0,3344.0,0.0,3113.0,0.0,2011.0,0.0,864.0,0.0
Random Forest,T+O+W,0.7026,0.0063,0.6131,0.0096,0.8436,0.0122,0.7098,0.0024,0.6868,0.0092,0.7886,0.0006,0.8086,0.0004,3550.0,51.3397,2877.4,126.318,2246.6,126.318,658.0,51.3397
Gradient Boosting,T+O+W,0.73,0.0001,0.6586,0.0001,0.8011,0.0001,0.7229,0.0001,0.723,0.0001,0.7856,0.0,0.8142,0.0,3371.2,0.5696,3376.2,0.6401,1747.8,0.6401,836.8,0.5696
Logistic Regression,T+O+W+S,0.7059,0.0,0.6359,0.0,0.7771,0.0,0.6995,0.0,0.6989,0.0,0.7539,0.0,0.7831,0.0,3270.0,0.0,3252.0,0.0,1872.0,0.0,938.0,0.0
Random Forest,T+O+W+S,0.7305,0.0035,0.662,0.0079,0.7949,0.0087,0.7222,0.0014,0.724,0.0046,0.7966,0.0006,0.8164,0.0003,3345.0,36.6321,3412.6,79.3208,1711.4,79.3208,863.0,36.6321
Gradient Boosting,T+O+W+S,0.745,0.0003,0.7074,0.0024,0.7421,0.0036,0.7243,0.0004,0.7438,0.0005,0.8008,0.0,0.8218,0.0,3122.9,15.2255,3831.7,21.4688,1292.3,21.4688,1085.1,15.2255
