Model,Feature Set,Balanced Accuracy,F1-Score,AUC-ROC,Threshold,n_features
Logistic Regression,T,0.5740727201206443,0.5776212408561365,0.6750332456127237,0.32478962565310365,12
Logistic Regression,T+O+W,0.7842359442244551,0.7330379123584441,0.8725578811198088,0.38780731507373356,26
Logistic Regression,T+O+W+S,0.7870122857517935,0.7359729407083168,0.8730539374298063,0.38332085500679647,34
Random Forest,T,0.7193840638530666,0.6621477679868306,0.7980407279486926,0.3785540482968334,12
Random Forest,T+O+W,0.7950802303705475,0.7450785444422351,0.8868064117256278,0.4,26
Random Forest,T+O+W+S,0.8021346159416363,0.7530864197530864,0.8892639621061917,0.42333333333333334,34
XGBoost,T,0.7148026017655622,0.6598984771573604,0.7988451222793842,0.45470672845840454,12
XGBoost,T+O+W,0.804482189508285,0.7557735540568159,0.8891203046192773,0.45924824476242065,26
XGBoost,T+O+W+S,0.8087427289456521,0.7611379495437467,0.8947794606467251,0.45084500312805176,34
