ID,DistrictsAndNeighborhoods,MunicipalityName,RegionType,RegionCode,BoundaryChange,Population,TotalPropertyDamageAndViolence_Index,TotalPropertyCrimes,TotalTheft,BicycleTheft,TheftOtherVehicles,TheftFromVehicles,PickpocketingAndRobbery,TotalTheftHomeShedEtc,TheftNonResidentialBuildings,OtherTheftBurglary,OtherPropertyCrimes,TotalVandalismPublicOrder,TotalVandalism,CarVandalism,OtherVandalism,OtherPublicOrderVandalism,TotalViolentAndSexualCrimes,Assault,ThreatsAndStalking,OtherViolentAndSexualCrimes,TotalPropertyDamageAndViolence_Rate,TotalPropertyCrimes_Rate,TotalTheftHomeShed_Rate,VandalismPublicOrder_Rate,ViolentAndSexualCrimes_Rate
0,GM1680    ,Aa en Hunze                   ,Gemeente,GM1680    ,       .,25390,423.0,284.0,199.0,24.0,3.0,13.0,1.0,60.0,38.0,60.0,85.0,73.0,59.0,14.0,45.0,14.0,66.0,26.0,23.0,17.0,17.0,11.0,2.0,2.0,3.0
1,WK168000  ,Aa en Hunze                   ,Wijk    ,WK168000  ,       1,3560,38.0,22.0,16.0,2.0,0.0,2.0,0.0,2.0,7.0,3.0,6.0,9.0,8.0,1.0,7.0,1.0,7.0,3.0,3.0,1.0,11.0,6.0,1.0,2.0,2.0
2,BU16800000,Aa en Hunze                   ,Buurt   ,BU16800000,       1,3415,37.0,21.0,15.0,2.0,0.0,2.0,0.0,2.0,6.0,3.0,6.0,9.0,8.0,1.0,7.0,1.0,7.0,3.0,3.0,1.0,11.0,6.0,1.0,2.0,2.0
3,BU16800009,Aa en Hunze                   ,Buurt   ,BU16800009,       1,145,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
4,WK168001  ,Aa en Hunze                   ,Wijk    ,WK168001  ,       1,1430,19.0,16.0,12.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,13.0,11.0,2.0,1.0,1.0
5,BU16800100,Aa en Hunze                   ,Buurt   ,BU16800100,       1,1260,13.0,12.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,10.0,2.0,0.0,1.0
6,BU16800109,Aa en Hunze                   ,Buurt   ,BU16800109,       1,170,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,35.0,24.0,0.0,6.0,6.0
7,WK168002  ,Aa en Hunze                   ,Wijk    ,WK168002  ,       1,445,10.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,18.0,0.0,2.0,0.0
8,BU16800200,Aa en Hunze                   ,Buurt   ,BU16800200,       1,325,9.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,0.0,3.0,0.0
9,BU16800209,Aa en Hunze                   ,Buurt   ,BU16800209,       1,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
10,WK168003  ,Aa en Hunze                   ,Wijk    ,WK168003  ,       1,405,7.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,2.0,2.0,0.0
11,BU16800300,Aa en Hunze                   ,Buurt   ,BU16800300,       1,390,7.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,3.0,3.0,0.0
12,BU16800309,Aa en Hunze                   ,Buurt   ,BU16800309,       1,15,,,,,,,,,,,,,,,,,,,,,,,,,
13,WK168004  ,Aa en Hunze                   ,Wijk    ,WK168004  ,       1,260,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,4.0,0.0
14,BU16800400,Aa en Hunze                   ,Buurt   ,BU16800400,       1,230,,,,,,,,,,,,,,,,,,,,,,,,,
15,BU16800409,Aa en Hunze                   ,Buurt   ,BU16800409,       1,30,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
16,WK168005  ,Aa en Hunze                   ,Wijk    ,WK168005  ,       1,595,9.0,9.0,9.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0
17,BU16800500,Aa en Hunze                   ,Buurt   ,BU16800500,       1,540,8.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,9.0,0.0,0.0
18,BU16800509,Aa en Hunze                   ,Buurt   ,BU16800509,       1,55,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0
19,WK168006  ,Aa en Hunze                   ,Wijk    ,WK168006  ,       1,435,5.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
20,BU16800600,Aa en Hunze                   ,Buurt   ,BU16800600,       1,425,5.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0
21,BU16800609,Aa en Hunze                   ,Buurt   ,BU16800609,       1,15,,,,,,,,,,,,,,,,,,,,,,,,,
22,WK168007  ,Aa en Hunze                   ,Wijk    ,WK168007  ,       1,150,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,7.0,0.0,0.0
23,BU16800700,Aa en Hunze                   ,Buurt   ,BU16800700,       1,150,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,7.0,0.0,0.0
24,BU16800709,Aa en Hunze                   ,Buurt   ,BU16800709,       1,0,,,,,,,,,,,,,,,,,,,,,,,,,
25,WK168008  ,Aa en Hunze                   ,Wijk    ,WK168008  ,       1,105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
26,BU16800800,Aa en Hunze                   ,Buurt   ,BU16800800,       1,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
27,BU16800809,Aa en Hunze                   ,Buurt   ,BU16800809,       1,10,,,,,,,,,,,,,,,,,,,,,,,,,
28,WK168009  ,Aa en Hunze                   ,Wijk    ,WK168009  ,       1,130,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,31.0,0.0,0.0,8.0
29,BU16800900,Aa en Hunze                   ,Buurt   ,BU16800900,       1,125,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,32.0,0.0,0.0,8.0
30,BU16800909,Aa en Hunze                   ,Buurt   ,BU16800909,       1,10,,,,,,,,,,,,,,,,,,,,,,,,,
31,WK168011  ,Aa en Hunze                   ,Wijk    ,WK168011  ,       1,400,5.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5.0,0.0,0.0
32,BU16801100,Aa en Hunze                   ,Buurt   ,BU16801100,       1,400,5.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5.0,0.0,0.0
33,BU16801109,Aa en Hunze                   ,Buurt   ,BU16801109,       1,5,,,,,,,,,,,,,,,,,,,,,,,,,
34,WK168012  ,Aa en Hunze                   ,Wijk    ,WK168012  ,       1,305,13.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,43.0,26.0,7.0,7.0,10.0
35,BU16801200,Aa en Hunze                   ,Buurt   ,BU16801200,       1,265,11.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,42.0,23.0,8.0,8.0,11.0
36,BU16801209,Aa en Hunze                   ,Buurt   ,BU16801209,       1,45,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
37,WK168013  ,Aa en Hunze                   ,Wijk    ,WK168013  ,       1,140,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0
38,BU16801300,Aa en Hunze                   ,Buurt   ,BU16801300,       1,105,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0
39,BU16801309,Aa en Hunze                   ,Buurt   ,BU16801309,       1,35,,,,,,,,,,,,,,,,,,,,,,,,,
40,WK168014  ,Aa en Hunze                   ,Wijk    ,WK168014  ,       1,1905,39.0,19.0,13.0,2.0,0.0,1.0,0.0,1.0,5.0,4.0,6.0,9.0,8.0,3.0,5.0,1.0,11.0,7.0,2.0,2.0,20.0,10.0,1.0,4.0,6.0
41,BU16801400,Aa en Hunze                   ,Buurt   ,BU16801400,       1,1515,22.0,13.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0,8.0,5.0,2.0,1.0,15.0,9.0,1.0,1.0,5.0
42,BU16801401,Aa en Hunze                   ,Buurt   ,BU16801401,       1,140,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0
43,BU16801409,Aa en Hunze                   ,Buurt   ,BU16801409,       1,255,15.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,5.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,59.0,24.0,0.0,20.0,12.0
44,WK168015  ,Aa en Hunze                   ,Wijk    ,WK168015  ,       1,1850,37.0,21.0,15.0,0.0,0.0,2.0,0.0,7.0,2.0,4.0,6.0,6.0,6.0,2.0,4.0,0.0,10.0,2.0,7.0,1.0,20.0,11.0,4.0,3.0,5.0
45,BU16801500,Aa en Hunze                   ,Buurt   ,BU16801500,       1,1805,36.0,20.0,15.0,0.0,0.0,2.0,0.0,7.0,2.0,4.0,5.0,6.0,6.0,2.0,4.0,0.0,10.0,2.0,7.0,1.0,20.0,11.0,4.0,3.0,6.0
46,BU16801501,Aa en Hunze                   ,Buurt   ,BU16801501,       1,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
47,BU16801509,Aa en Hunze                   ,Buurt   ,BU16801509,       1,0,,,,,,,,,,,,,,,,,,,,,,,,,
48,WK168016  ,Aa en Hunze                   ,Wijk    ,WK168016  ,       1,665,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0
49,BU16801600,Aa en Hunze                   ,Buurt   ,BU16801600,       1,615,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
50,BU16801601,Aa en Hunze                   ,Buurt   ,BU16801601,       1,40,,,,,,,,,,,,,,,,,,,,,,,,,
51,BU16801609,Aa en Hunze                   ,Buurt   ,BU16801609,       1,10,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
52,WK168017  ,Aa en Hunze                   ,Wijk    ,WK168017  ,       1,5035,97.0,61.0,45.0,9.0,1.0,3.0,0.0,16.0,8.0,8.0,16.0,20.0,15.0,2.0,13.0,5.0,16.0,6.0,4.0,6.0,19.0,12.0,3.0,3.0,3.0
53,BU16801700,Aa en Hunze                   ,Buurt   ,BU16801700,       1,4870,87.0,56.0,40.0,9.0,1.0,3.0,0.0,14.0,7.0,6.0,16.0,18.0,15.0,2.0,13.0,3.0,13.0,5.0,3.0,5.0,18.0,11.0,3.0,3.0,3.0
54,BU16801709,Aa en Hunze                   ,Buurt   ,BU16801709,       1,170,10.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,59.0,29.0,12.0,0.0,18.0
55,WK168018  ,Aa en Hunze                   ,Wijk    ,WK168018  ,       1,1220,18.0,11.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,3.0,3.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,15.0,9.0,1.0,2.0,3.0
56,BU16801800,Aa en Hunze                   ,Buurt   ,BU16801800,       1,670,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,15.0,7.0,0.0,3.0,4.0
57,BU16801801,Aa en Hunze                   ,Buurt   ,BU16801801,       1,100,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
58,BU16801802,Aa en Hunze                   ,Buurt   ,BU16801802,       1,250,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
59,BU16801809,Aa en Hunze                   ,Buurt   ,BU16801809,       1,205,5.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,15.0,5.0,5.0,5.0
60,WK168019  ,Aa en Hunze                   ,Wijk    ,WK168019  ,       1,4715,86.0,62.0,45.0,8.0,0.0,2.0,0.0,14.0,2.0,19.0,17.0,16.0,11.0,3.0,8.0,5.0,8.0,3.0,4.0,1.0,18.0,13.0,3.0,2.0,2.0
61,BU16801900,Aa en Hunze                   ,Buurt   ,BU16801900,       1,3760,59.0,43.0,29.0,6.0,0.0,1.0,0.0,10.0,1.0,11.0,14.0,8.0,7.0,1.0,6.0,1.0,8.0,3.0,4.0,1.0,16.0,11.0,3.0,2.0,2.0
62,BU16801901,Aa en Hunze                   ,Buurt   ,BU16801901,       1,150,4.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,13.0,7.0,0.0
63,BU16801902,Aa en Hunze                   ,Buurt   ,BU16801902,       1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,BU16801903,Aa en Hunze                   ,Buurt   ,BU16801903,       1,90,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,11.0,0.0,0.0
65,BU16801908,Aa en Hunze                   ,Buurt   ,BU16801908,       1,510,17.0,12.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,24.0,0.0,4.0,0.0
66,BU16801909,Aa en Hunze                   ,Buurt   ,BU16801909,       1,150,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,13.0,7.0,7.0,0.0
67,WK168020  ,Aa en Hunze                   ,Wijk    ,WK168020  ,       1,1175,16.0,12.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,14.0,10.0,2.0,1.0,3.0
68,BU16802000,Aa en Hunze                   ,Buurt   ,BU16802000,       1,635,8.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,11.0,0.0,0.0,2.0
69,BU16802001,Aa en Hunze                   ,Buurt   ,BU16802001,       1,190,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.0,0.0,0.0
70,BU16802008,Aa en Hunze                   ,Buurt   ,BU16802008,       1,80,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,13.0,0.0,0.0
71,BU16802009,Aa en Hunze                   ,Buurt   ,BU16802009,       1,280,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,14.0,4.0,0.0,4.0,7.0
72,WK168021  ,Aa en Hunze                   ,Wijk    ,WK168021  ,       1,505,7.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,10.0,2.0,2.0,2.0
73,BU16802100,Aa en Hunze                   ,Buurt   ,BU16802100,       1,270,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,4.0,4.0,0.0
74,BU16802101,Aa en Hunze                   ,Buurt   ,BU16802101,       1,95,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,21.0,0.0,0.0,11.0
75,BU16802109,Aa en Hunze                   ,Buurt   ,BU16802109,       1,150,,,,,,,,,,,,,,,,,,,,,,,,,
76,GM0738    ,Aalburg                       ,Gemeente,GM0738    ,       .,13153,223.0,154.0,107.0,5.0,5.0,18.0,2.0,18.0,17.0,42.0,47.0,34.0,26.0,11.0,15.0,8.0,35.0,13.0,17.0,5.0,17.0,12.0,1.0,2.0,3.0
77,WK073800  ,Aalburg                       ,Wijk    ,WK073800  ,       1,6315,136.0,100.0,70.0,3.0,4.0,12.0,1.0,8.0,16.0,26.0,30.0,18.0,15.0,7.0,8.0,3.0,18.0,7.0,9.0,2.0,22.0,16.0,1.0,2.0,3.0
78,BU07380000,Aalburg                       ,Buurt   ,BU07380000,       1,5150,104.0,74.0,50.0,3.0,4.0,10.0,0.0,5.0,7.0,21.0,24.0,17.0,15.0,7.0,8.0,2.0,13.0,5.0,7.0,1.0,20.0,14.0,1.0,3.0,3.0
79,BU07380001,Aalburg                       ,Buurt   ,BU07380001,       1,920,25.0,20.0,15.0,0.0,0.0,1.0,1.0,3.0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,27.0,22.0,3.0,0.0,4.0
80,BU07380009,Aalburg                       ,Buurt   ,BU07380009,       1,240,7.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,25.0,0.0,0.0,4.0
81,WK073801  ,Aalburg                       ,Wijk    ,WK073801  ,       1,2720,51.0,30.0,19.0,2.0,1.0,2.0,1.0,3.0,0.0,10.0,11.0,11.0,7.0,1.0,6.0,4.0,10.0,4.0,4.0,2.0,19.0,11.0,1.0,3.0,4.0
82,BU07380100,Aalburg                       ,Buurt   ,BU07380100,       1,2620,45.0,24.0,15.0,2.0,1.0,2.0,1.0,2.0,0.0,7.0,9.0,11.0,7.0,1.0,6.0,4.0,10.0,4.0,4.0,2.0,17.0,9.0,1.0,3.0,4.0
83,BU07380109,Aalburg                       ,Buurt   ,BU07380109,       1,100,6.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,10.0,0.0,0.0
84,WK073802  ,Aalburg                       ,Wijk    ,WK073802  ,       1,1705,15.0,11.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,9.0,6.0,1.0,0.0,2.0
85,BU07380200,Aalburg                       ,Buurt   ,BU07380200,       1,1625,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,6.0,4.0,0.0,0.0,2.0
86,BU07380209,Aalburg                       ,Buurt   ,BU07380209,       1,75,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,27.0,0.0,0.0
87,WK073803  ,Aalburg                       ,Wijk    ,WK073803  ,       1,815,6.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,2.0,2.0,1.0
88,BU07380300,Aalburg                       ,Buurt   ,BU07380300,       1,670,4.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0
89,BU07380309,Aalburg                       ,Buurt   ,BU07380309,       1,140,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,7.0,0.0
90,WK073804  ,Aalburg                       ,Wijk    ,WK073804  ,       1,735,6.0,5.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,1.0,0.0
91,BU07380400,Aalburg                       ,Buurt   ,BU07380400,       1,660,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
92,BU07380409,Aalburg                       ,Buurt   ,BU07380409,       1,75,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,13.0,13.0,0.0
93,WK073805  ,Aalburg                       ,Wijk    ,WK073805  ,       1,400,5.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,13.0,8.0,5.0,0.0,5.0
94,BU07380500,Aalburg                       ,Buurt   ,BU07380500,       1,220,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,14.0,5.0,0.0,0.0,9.0
95,BU07380509,Aalburg                       ,Buurt   ,BU07380509,       1,175,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0
96,WK073806  ,Aalburg                       ,Wijk    ,WK073806  ,       1,445,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,2.0,0.0
97,BU07380600,Aalburg                       ,Buurt   ,BU07380600,       1,360,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,3.0,0.0
98,BU07380609,Aalburg                       ,Buurt   ,BU07380609,       1,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,GM0358    ,Aalsmeer                      ,Gemeente,GM0358    ,       .,31499,852.0,605.0,492.0,75.0,28.0,99.0,9.0,74.0,98.0,109.0,113.0,131.0,109.0,57.0,52.0,22.0,116.0,59.0,41.0,16.0,27.0,19.0,2.0,3.0,4.0
100,WK035800  ,Aalsmeer                      ,Wijk    ,WK035800  ,       1,12380,446.0,323.0,279.0,49.0,17.0,59.0,6.0,35.0,66.0,47.0,44.0,70.0,60.0,33.0,27.0,10.0,53.0,28.0,15.0,10.0,36.0,26.0,3.0,5.0,4.0
101,BU03580000,Aalsmeer                      ,Buurt   ,BU03580000,       1,2535,114.0,90.0,84.0,12.0,9.0,14.0,3.0,9.0,23.0,14.0,6.0,14.0,12.0,3.0,9.0,2.0,10.0,8.0,1.0,1.0,45.0,36.0,4.0,5.0,4.0
102,BU03580001,Aalsmeer                      ,Buurt   ,BU03580001,       1,6400,179.0,127.0,106.0,22.0,6.0,13.0,1.0,23.0,23.0,18.0,21.0,33.0,30.0,18.0,12.0,3.0,19.0,7.0,9.0,3.0,28.0,20.0,4.0,5.0,3.0
103,BU03580004,Aalsmeer                      ,Buurt   ,BU03580004,       1,2540,127.0,84.0,68.0,14.0,2.0,18.0,2.0,2.0,19.0,11.0,16.0,21.0,17.0,12.0,5.0,4.0,22.0,12.0,4.0,6.0,50.0,33.0,1.0,7.0,9.0
104,BU03580005,Aalsmeer                      ,Buurt   ,BU03580005,       1,890,26.0,22.0,21.0,1.0,0.0,14.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,29.0,25.0,1.0,1.0,2.0
