Region_Code,year,Neighborhood_Name,Municipality_Name,Region_Type,Boundary_Change_Code,Dist_Primary_School,Count_Primary_1km,Count_Primary_3km,Count_Primary_5km,Dist_Secondary_Total,Count_Secondary_3km,Count_Secondary_5km,Count_Secondary_10km,Dist_Secondary_VMBO,Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal),Dist_Secondary_HAVO_VWO,Count_Secondary_HAVO_VWO_3km,Count_Secondary_HAVO_VWO_5km,Count_Secondary_HAVO_VWO_10km,Dist_Public_Green_Total,Dist_Park,Dist_Day_Recreation,Dist_Forest,Dist_Nature_Area_Total,Dist_Nature_Area_Dry,Dist_Nature_Area_Wet,Dist_SemiPublic_Green,Dist_Sports_Field,Dist_Allotment_Garden,Dist_Holiday_Recreation,Dist_Cemetery,Dist_Recreation_Water,Dist_GP_Surgery,Count_GP_1km,Count_GP_3km,Count_GP_5km,Dist_GP_Out_Of_Hours,Dist_Pharmacy,Dist_Hospital_Incl_Outpatient,Count_Hospital_Incl_5km,Count_Hospital_Incl_10km,Count_Hospital_Incl_20km,Dist_Hospital_Excl_Outpatient,Count_Hospital_Excl_5km,Count_Hospital_Excl_10km,Count_Hospital_Excl_20km,Dist_Clinic_Infant_Child,Dist_Physiotherapist,Count_Physio_1km,Count_Physio_3km,Count_Physio_5km,Dist_Supermarket,Count_Supermarket_1km,Count_Supermarket_3km,Count_Supermarket_5km,Dist_Other_Grocery,Count_Other_Grocery_1km,Count_Other_Grocery_3km,Count_Other_Grocery_5km,Dist_Department_Store,Count_DeptStore_5km,Count_DeptStore_10km,Count_DeptStore_20km,Dist_Highway_Entrance,Dist_Train_Station_Total,Dist_Major_Transfer_Station
BU19040113,,Zogwetering,Stichtse Vecht,Buurt     ,1,0.7,1.0,5.0,12.4,4.7,0.0,2.5,19.0,4.7,0.0,2.4,14.0,4.8,0.0,1.1,11.0,,,,,,,,,,,,,,1.5,0.0,3.0,6.5,7.4,1.5,7.4,0.0,2.0,12.0,7.4,0.0,1.0,9.0,,,,,,0.9,0.9,3.0,10.5,0.3,4.6,19.0,44.3,1.2,3.0,12.0,29.3,1.8,3.8,9.8
BU19040114,,Park Vechtenstein,Stichtse Vecht,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19040115,,Zeeheldenbuurt,Stichtse Vecht,Buurt     ,1,0.4,1.2,5.0,10.6,4.5,0.0,2.0,19.0,4.5,0.0,2.0,14.0,4.6,0.0,1.0,11.0,,,,,,,,,,,,,,1.2,0.0,3.0,6.9,7.3,1.3,7.3,0.0,2.0,12.0,7.3,0.0,1.0,9.0,,,,,,0.7,1.9,3.0,10.2,0.4,10.8,19.0,40.8,1.0,2.3,12.3,29.9,1.6,3.6,9.6
BU19040116,,Hogebrug,Stichtse Vecht,Buurt     ,1,0.8,0.7,9.0,17.1,2.9,0.9,3.0,26.1,2.9,0.9,3.0,18.3,3.0,0.5,1.0,16.8,,,,,,,,,,,,,,0.8,1.0,4.5,11.4,5.7,0.9,5.7,0.0,2.4,13.0,5.7,0.0,1.4,9.0,,,,,,0.8,1.0,8.1,14.3,0.8,2.7,32.1,52.6,1.4,2.9,15.0,30.4,1.0,2.0,8.2
BU19040117,,Friezenbuurt,Stichtse Vecht,Buurt     ,1,1.1,0.2,8.6,18.4,2.6,1.5,3.0,27.7,2.6,1.5,3.0,18.7,3.0,0.5,1.0,18.0,,,,,,,,,,,,,,1.1,0.2,4.6,12.1,5.7,1.3,5.7,0.0,3.0,13.0,5.7,0.0,2.0,9.0,,,,,,1.1,0.2,8.0,16.5,1.1,0.2,32.3,59.7,1.7,3.5,15.0,30.8,1.4,2.0,7.7
BU19040118,,Centrum ten noorden van de Vecht,Stichtse Vecht,Buurt     ,1,0.4,2.9,5.4,13.2,3.7,0.0,2.9,24.1,3.7,0.0,2.9,17.1,3.7,0.0,1.0,15.1,,,,,,,,,,,,,,0.8,2.3,3.0,9.0,6.4,0.8,6.4,0.0,2.0,13.0,6.4,0.0,1.0,9.0,,,,,,0.3,2.4,7.5,10.9,0.2,16.7,30.5,40.7,0.4,2.2,15.0,30.0,0.8,2.8,8.9
BU19040119,,Begraafplaats Maarssen,Stichtse Vecht,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19040201,,Polder Kortrijk,Stichtse Vecht,Buurt     ,1,3.5,0.0,0.7,6.5,3.6,0.4,1.5,4.7,3.6,0.4,1.0,3.7,4.7,0.1,0.6,3.1,,,,,,,,,,,,,,3.7,0.0,0.4,2.0,10.6,3.8,10.5,0.0,0.1,7.5,10.6,0.0,0.1,4.7,,,,,,3.5,0.0,0.8,3.6,3.5,0.0,3.6,13.5,3.7,0.9,4.5,24.8,1.8,2.7,12.9
BU19040202,,Polder Breukelen Proosdij,Stichtse Vecht,Buurt     ,1,1.7,0.3,3.8,7.6,2.2,1.5,2.0,5.2,2.2,0.8,1.0,4.2,2.5,0.7,1.0,2.5,,,,,,,,,,,,,,2.5,0.0,0.8,3.0,10.6,2.5,10.6,0.0,0.4,11.4,10.6,0.0,0.4,7.7,,,,,,1.6,0.3,3.1,5.3,1.4,1.7,17.3,29.7,1.9,1.6,4.4,27.3,2.4,3.4,13.2
BU19040203,,Polder Klein Oud Aa,Stichtse Vecht,Buurt     ,1,2.2,0.0,1.0,6.2,3.3,0.4,1.7,3.0,3.3,0.4,1.0,2.0,4.5,0.0,0.7,1.0,,,,,,,,,,,,,,4.6,0.0,0.0,1.2,11.5,4.6,10.2,0.0,0.3,7.3,11.5,0.0,0.0,4.1,,,,,,3.5,0.0,0.2,3.2,3.2,0.0,0.8,16.1,3.4,1.0,3.0,25.9,1.1,2.3,14.4
