Region_Code,year,Neighborhood_Name,Municipality_Name,Region_Type,Boundary_Change_Code,Dist_Primary_School,Count_Primary_1km,Count_Primary_3km,Count_Primary_5km,Dist_Secondary_Total,Count_Secondary_3km,Count_Secondary_5km,Count_Secondary_10km,Dist_Secondary_VMBO,Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal),Dist_Secondary_HAVO_VWO,Count_Secondary_HAVO_VWO_3km,Count_Secondary_HAVO_VWO_5km,Count_Secondary_HAVO_VWO_10km,Dist_Public_Green_Total,Dist_Park,Dist_Day_Recreation,Dist_Forest,Dist_Nature_Area_Total,Dist_Nature_Area_Dry,Dist_Nature_Area_Wet,Dist_SemiPublic_Green,Dist_Sports_Field,Dist_Allotment_Garden,Dist_Holiday_Recreation,Dist_Cemetery,Dist_Recreation_Water,Dist_GP_Surgery,Count_GP_1km,Count_GP_3km,Count_GP_5km,Dist_GP_Out_Of_Hours,Dist_Pharmacy,Dist_Hospital_Incl_Outpatient,Count_Hospital_Incl_5km,Count_Hospital_Incl_10km,Count_Hospital_Incl_20km,Dist_Hospital_Excl_Outpatient,Count_Hospital_Excl_5km,Count_Hospital_Excl_10km,Count_Hospital_Excl_20km,Dist_Clinic_Infant_Child,Dist_Physiotherapist,Count_Physio_1km,Count_Physio_3km,Count_Physio_5km,Dist_Supermarket,Count_Supermarket_1km,Count_Supermarket_3km,Count_Supermarket_5km,Dist_Other_Grocery,Count_Other_Grocery_1km,Count_Other_Grocery_3km,Count_Other_Grocery_5km,Dist_Department_Store,Count_DeptStore_5km,Count_DeptStore_10km,Count_DeptStore_20km,Dist_Highway_Entrance,Dist_Train_Station_Total,Dist_Major_Transfer_Station
BU00140000,,Binnenstad-Noord,Groningen,Buurt     ,1,0.5,1.8,16.1,25.4,0.9,11.4,23.8,26.0,1.0,7.7,17.8,19.0,0.9,7.0,11.0,13.0,,,,,,,,,,,,,,0.4,4.6,26.3,36.9,4.3,0.5,1.3,2.0,3.0,3.0,1.3,2.0,2.0,2.0,,,,,,0.3,9.1,33.7,48.4,0.1,50.7,126.6,152.8,0.9,5.0,7.0,14.0,1.8,1.3,1.3
BU00140001,,Binnenstad-Zuid,Groningen,Buurt     ,1,0.8,1.5,14.4,25.1,1.0,13.9,23.8,26.0,1.2,9.1,17.7,19.0,1.0,7.7,10.9,13.0,,,,,,,,,,,,,,0.3,4.7,26.4,36.1,3.9,0.8,1.3,2.6,3.0,3.0,1.3,2.0,2.0,2.0,,,,,,0.3,8.4,34.2,47.2,0.1,44.8,127.9,149.5,0.9,5.0,7.0,14.0,1.4,0.9,0.9
BU00140002,,Binnenstad-Oost,Groningen,Buurt     ,1,0.8,1.5,14.8,26.3,0.5,7.9,23.9,26.0,0.6,5.3,17.9,19.0,0.5,5.5,10.9,13.0,,,,,,,,,,,,,,0.5,5.5,24.2,35.7,4.7,0.5,0.6,1.9,3.0,3.0,0.6,1.9,2.0,2.0,,,,,,0.5,6.7,32.7,47.4,0.3,31.5,117.2,151.3,1.1,5.0,7.0,14.0,1.6,1.6,1.7
BU00140003,,Binnenstad-West,Groningen,Buurt     ,1,1.0,0.5,13.9,27.5,1.7,14.8,20.6,26.0,1.7,10.8,14.6,19.0,1.7,6.7,10.1,13.0,,,,,,,,,,,,,,0.6,3.4,26.4,37.5,3.8,0.9,2.1,2.0,3.0,3.0,2.1,2.0,2.0,2.0,,,,,,0.3,4.6,33.3,47.1,0.2,31.0,128.3,150.6,1.1,5.0,7.0,14.0,1.4,0.9,0.9
BU00140004,,Noorderplantsoen,Groningen,Buurt     ,1,0.4,1.4,16.0,27.0,1.6,13.0,20.0,26.0,1.7,9.0,14.0,19.0,1.6,7.0,11.0,13.0,,,,,,,,,,,,,,0.5,3.4,27.0,37.0,4.3,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,0.5,4.0,36.0,47.0,0.4,26.6,126.0,150.0,1.3,5.0,7.0,14.0,1.5,1.3,1.3
BU00140005,,Hortusbuurt-Ebbingekwartier,Groningen,Buurt     ,1,0.6,2.3,15.9,29.1,1.2,7.2,23.9,26.0,1.3,5.0,17.9,19.0,1.2,4.9,11.0,13.0,,,,,,,,,,,,,,0.4,4.2,26.2,37.8,4.8,0.6,1.5,1.8,3.0,3.0,1.5,1.8,2.0,2.0,,,,,,0.4,7.3,33.2,48.1,0.3,30.5,120.5,153.2,1.3,5.0,7.3,14.0,1.8,1.2,1.9
BU00140007,,UMCG,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140008,,Stationsgebied,Groningen,Buurt     ,1,0.8,1.5,14.4,26.9,1.3,14.5,21.7,26.0,1.3,10.1,15.7,19.0,1.3,7.0,10.9,13.0,,,,,,,,,,,,,,0.5,2.6,26.2,38.7,3.4,1.1,1.9,3.0,3.0,3.0,1.9,2.0,2.0,2.0,,,,,,0.7,5.7,30.2,47.5,0.2,25.5,120.7,151.1,0.8,5.0,7.0,14.0,1.3,0.2,0.2
BU00140100,,De Meeuwen,Groningen,Buurt     ,1,0.8,1.2,9.8,23.0,1.6,7.2,23.0,26.0,1.6,4.9,17.0,19.0,1.6,5.5,10.0,13.0,,,,,,,,,,,,,,0.6,2.3,21.2,34.4,4.6,0.8,1.4,2.0,3.0,3.0,1.4,1.9,2.0,2.0,,,,,,0.9,0.6,24.5,44.2,0.6,4.1,107.9,145.5,2.0,5.0,7.0,14.0,1.2,1.4,1.5
BU00140101,,Oosterpoort,Groningen,Buurt     ,1,0.4,2.0,11.1,23.7,1.5,10.9,23.6,26.0,1.5,7.1,17.5,19.0,1.5,6.8,10.7,13.0,,,,,,,,,,,,,,0.6,3.4,23.4,34.3,4.3,0.6,1.5,2.6,3.0,3.0,1.5,2.0,2.0,2.0,,,,,,0.5,2.3,27.3,45.4,0.3,8.5,113.9,147.5,1.8,5.0,7.0,14.0,1.3,1.0,1.2
BU00140102,,Herewegbuurt,Groningen,Buurt     ,1,0.8,1.3,12.7,23.8,0.9,12.5,21.0,26.0,0.9,8.5,14.4,19.0,0.9,6.8,11.2,13.0,,,,,,,,,,,,,,0.7,2.0,24.3,34.9,3.7,1.7,2.2,3.0,3.0,3.0,2.2,2.0,2.0,2.0,,,,,,0.7,1.4,26.4,45.2,0.7,2.6,113.4,156.3,1.4,5.8,7.0,14.0,0.5,1.3,1.3
BU00140103,,Rivierenbuurt,Groningen,Buurt     ,1,0.4,2.2,14.3,27.0,0.4,12.6,20.0,26.1,0.4,8.6,13.8,19.1,0.4,7.0,10.5,13.0,,,,,,,,,,,,,,0.3,2.6,24.1,36.2,3.1,1.6,2.3,3.0,3.0,3.0,2.3,2.0,2.0,2.0,,,,,,0.4,1.8,27.8,44.9,0.3,3.0,114.4,151.4,1.5,5.3,7.0,14.0,0.8,1.1,1.1
BU00140104,,Grunobuurt,Groningen,Buurt     ,1,0.3,2.4,12.3,28.2,0.9,12.0,17.6,27.0,1.0,8.2,12.6,20.0,0.9,6.8,8.6,13.0,,,,,,,,,,,,,,0.6,2.2,20.8,37.6,2.4,1.1,2.4,2.7,3.0,3.0,2.4,2.0,2.0,2.0,,,,,,0.4,2.4,25.6,45.9,0.3,4.8,110.8,149.3,1.0,5.0,7.4,14.0,1.2,1.1,1.1
BU00140105,,Badstratenbuurt,Groningen,Buurt     ,1,0.9,0.7,13.3,31.1,1.0,14.9,18.3,26.0,1.0,10.8,12.9,19.0,1.0,6.4,9.0,13.0,,,,,,,,,,,,,,0.7,2.1,24.7,39.5,3.2,0.8,2.3,2.0,3.0,3.0,2.3,2.0,2.0,2.0,,,,,,0.3,3.2,29.9,48.0,0.2,18.5,123.5,151.6,0.4,5.0,7.0,14.0,1.3,0.7,0.7
BU00140106,,Zeeheldenbuurt,Groningen,Buurt     ,1,1.2,0.3,11.5,29.6,0.6,12.1,17.2,26.0,0.6,8.8,12.1,19.0,0.6,6.0,8.2,13.0,,,,,,,,,,,,,,1.0,1.0,18.9,38.8,3.4,1.0,2.6,2.0,3.0,3.0,2.6,2.0,2.0,2.0,,,,,,0.6,1.8,26.9,47.9,0.4,9.3,112.5,151.6,0.6,5.0,7.0,14.0,1.4,1.1,1.1
BU00140107,,Laanhuizen,Groningen,Buurt     ,1,0.6,1.1,11.8,29.0,0.3,11.0,17.0,26.3,1.2,7.9,12.0,19.3,0.3,5.6,8.0,13.0,,,,,,,,,,,,,,0.9,0.8,19.0,38.0,2.8,1.5,2.8,2.0,3.0,3.0,2.8,2.0,2.0,2.0,,,,,,0.8,1.3,25.0,47.0,0.6,2.5,103.8,150.3,1.2,5.0,7.0,14.0,1.5,1.4,1.4
BU00140108,,Stadspark,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140109,,Martini Trade Park,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140110,,Peizerweg,Groningen,Buurt     ,1,1.7,0.0,8.0,26.7,1.1,5.7,17.0,26.0,1.1,4.7,12.0,19.0,1.1,3.9,8.0,13.0,,,,,,,,,,,,,,1.9,0.0,10.9,36.9,3.6,1.9,3.5,2.0,3.0,3.0,3.5,2.0,2.0,2.0,,,,,,1.3,0.0,16.5,46.8,1.3,0.0,67.2,149.8,1.5,5.0,7.0,14.0,1.6,2.0,2.0
BU00140200,,Oranjebuurt,Groningen,Buurt     ,1,0.5,1.4,14.1,26.8,1.8,8.5,19.3,26.0,1.9,5.6,13.5,19.0,1.9,5.4,10.1,13.0,,,,,,,,,,,,,,1.0,0.5,22.5,37.1,4.7,1.1,2.6,2.0,3.0,3.0,2.6,2.0,2.0,2.0,,,,,,0.4,2.0,33.2,46.5,0.7,5.2,119.0,149.3,1.5,5.0,7.0,14.0,1.5,1.7,2.0
BU00140201,,Noorderplantsoenbuurt,Groningen,Buurt     ,1,0.7,1.0,15.0,28.8,1.0,6.0,23.5,26.0,1.3,3.9,17.5,19.0,1.3,3.8,11.0,13.0,,,,,,,,,,,,,,0.9,2.0,25.1,37.4,5.2,0.5,2.2,1.2,3.0,3.0,2.2,1.2,2.0,2.0,,,,,,0.4,5.1,33.9,46.3,0.4,10.8,121.0,151.8,1.6,5.0,7.4,14.0,1.7,0.8,2.2
BU00140202,,Schildersbuurt,Groningen,Buurt     ,1,0.8,1.3,14.9,29.7,1.7,12.1,18.1,26.0,1.7,8.5,12.7,19.0,1.7,6.7,9.0,13.0,,,,,,,,,,,,,,0.5,2.1,24.2,38.3,3.9,0.5,2.4,2.0,3.0,3.0,2.4,2.0,2.0,2.0,,,,,,0.5,3.3,34.0,47.3,0.3,16.2,126.0,151.0,0.9,5.0,7.0,14.0,0.9,1.3,1.3
BU00140203,,Kostverloren,Groningen,Buurt     ,1,0.5,1.0,14.5,30.9,1.8,9.9,17.0,26.0,1.8,6.8,12.0,19.0,1.9,6.3,8.0,13.0,,,,,,,,,,,,,,0.6,1.0,19.7,37.9,4.1,0.6,2.8,2.0,3.0,3.0,2.8,2.0,2.0,2.0,,,,,,0.3,1.9,30.5,47.7,0.5,4.9,118.4,150.9,1.2,5.0,7.0,14.0,0.6,1.6,1.6
BU00140300,,De Hoogte,Groningen,Buurt     ,1,1.1,0.5,11.7,29.2,1.0,6.2,21.4,26.0,1.0,4.0,16.1,19.0,1.0,4.2,10.5,13.0,,,,,,,,,,,,,,0.9,1.8,22.1,34.7,6.1,0.8,2.2,1.0,3.0,3.0,2.2,1.0,2.0,2.0,,,,,,0.7,4.7,29.3,44.5,0.5,9.4,109.1,144.2,1.6,4.5,8.0,14.0,0.8,0.9,3.1
BU00140301,,Indische buurt,Groningen,Buurt     ,1,0.8,1.1,11.7,30.4,1.5,8.2,20.4,26.0,1.5,5.4,15.5,19.0,1.5,5.2,10.0,13.0,,,,,,,,,,,,,,0.6,1.9,21.2,34.6,6.2,0.7,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,,,,,,0.5,4.0,26.8,46.4,0.4,9.0,101.9,145.3,2.1,4.8,8.0,14.0,0.9,1.3,3.2
BU00140302,,Professorenbuurt,Groningen,Buurt     ,1,0.6,1.8,12.3,29.4,1.4,9.0,21.2,26.0,1.4,6.1,15.9,19.0,1.6,4.7,10.5,13.0,,,,,,,,,,,,,,0.7,2.5,21.8,35.0,6.0,0.7,1.7,1.0,3.0,3.0,1.7,1.0,2.0,2.0,,,,,,0.5,3.9,28.2,47.6,0.4,8.6,108.9,149.7,2.2,5.4,7.9,14.0,1.4,1.7,3.0
BU00140400,,Gorechtbuurt,Groningen,Buurt     ,1,0.6,1.5,13.0,28.4,0.7,7.2,23.9,26.0,0.7,4.8,17.9,19.0,1.1,4.5,11.0,13.0,,,,,,,,,,,,,,0.4,5.5,23.0,36.0,5.4,0.6,0.8,1.1,3.0,3.0,0.8,1.1,2.0,2.0,,,,,,0.3,2.4,31.4,48.5,0.5,7.4,114.6,154.6,1.7,5.6,7.2,14.0,1.7,2.0,2.4
BU00140401,,Vogelbuurt,Groningen,Buurt     ,1,0.8,1.6,11.0,27.2,1.0,9.4,20.8,26.0,1.0,6.8,15.0,19.0,1.7,4.2,10.9,13.0,,,,,,,,,,,,,,0.7,2.5,19.7,33.5,6.1,1.0,1.4,1.0,3.0,3.0,1.4,1.0,2.0,2.0,,,,,,0.6,1.4,27.7,47.0,0.5,2.6,102.3,152.1,2.4,5.6,7.2,14.0,1.9,2.4,3.1
BU00140402,,Bloemenbuurt,Groningen,Buurt     ,1,0.4,1.1,10.5,27.4,0.5,8.8,22.5,26.0,0.5,6.4,16.5,19.0,1.3,5.0,11.0,13.0,,,,,,,,,,,,,,0.6,3.4,19.9,35.4,5.6,0.9,0.9,1.0,3.0,3.0,0.9,1.0,2.0,2.0,,,,,,0.5,1.3,27.8,46.8,0.8,3.0,103.7,153.6,2.0,6.0,7.0,14.0,1.5,2.6,2.6
BU00140403,,Florabuurt,Groningen,Buurt     ,1,0.7,1.0,8.9,26.0,1.1,9.1,20.0,26.0,1.1,7.1,14.1,19.0,1.9,4.1,10.9,13.0,,,,,,,,,,,,,,1.2,0.1,16.3,32.4,6.2,1.5,1.6,1.0,3.0,3.0,1.6,1.0,2.0,2.0,,,,,,1.0,0.6,23.2,44.7,0.7,1.2,84.7,148.5,2.6,5.4,7.0,14.0,1.6,3.0,3.1
BU00140404,,Damsterbuurt,Groningen,Buurt     ,1,0.9,0.7,11.6,25.9,0.7,8.5,23.5,26.0,0.7,6.2,17.5,19.0,1.1,5.1,10.8,13.0,,,,,,,,,,,,,,0.8,3.4,21.4,35.7,5.1,0.8,0.8,1.3,3.0,3.0,0.8,1.3,2.0,2.0,,,,,,0.6,1.9,29.9,45.4,0.6,9.4,108.3,151.2,1.7,5.7,7.0,14.0,1.4,2.1,2.1
BU00140500,,De Linie,Groningen,Buurt     ,1,1.2,0.2,7.9,22.0,2.2,5.0,21.1,26.0,2.2,3.0,14.3,19.0,2.2,4.2,11.6,13.0,,,,,,,,,,,,,,0.6,1.0,15.3,31.8,4.9,1.4,2.4,2.6,3.0,3.0,2.4,1.6,2.0,2.0,,,,,,0.8,1.0,18.2,39.6,0.8,1.7,83.5,136.4,2.5,4.3,7.0,14.0,1.2,0.3,1.9
BU00140501,,Europapark,Groningen,Buurt     ,1,1.5,0.0,8.5,21.8,2.4,5.2,23.3,26.0,2.4,3.1,16.3,19.0,2.4,4.0,12.0,13.0,,,,,,,,,,,,,,0.4,1.0,14.0,30.4,5.1,1.7,2.3,2.1,3.0,3.0,2.3,1.1,2.0,2.0,,,,,,0.3,1.0,16.2,41.1,0.3,1.0,71.3,132.9,2.7,4.1,7.0,14.0,0.7,0.3,2.2
BU00140502,,Eemskanaal,Groningen,Buurt     ,1,1.3,0.0,9.7,23.3,1.5,3.9,22.6,26.0,1.5,2.9,16.5,19.0,1.6,2.8,10.1,13.0,,,,,,,,,,,,,,0.9,2.1,18.9,33.6,4.9,1.3,1.4,1.8,3.0,3.0,1.4,1.7,2.0,2.0,,,,,,1.1,0.0,22.6,42.1,0.5,6.2,92.1,140.7,2.1,4.8,7.0,14.0,0.8,1.6,2.0
BU00140503,,Kop van Oost,Groningen,Buurt     ,1,1.2,0.0,10.0,23.4,1.4,4.2,22.9,26.0,1.4,3.1,16.9,19.0,1.4,3.1,10.0,13.0,,,,,,,,,,,,,,0.7,2.4,21.6,34.9,4.9,1.0,1.1,1.9,3.0,3.0,1.1,1.9,2.0,2.0,,,,,,1.2,0.0,25.4,43.0,0.3,3.8,107.0,143.9,1.9,5.0,7.0,14.0,1.0,1.7,1.7
BU00140504,,Woonschepenhaven,Groningen,Buurt     ,1,1.7,0.0,4.0,18.8,2.1,2.5,19.0,26.0,2.1,2.0,13.0,19.0,2.8,1.5,10.0,13.0,,,,,,,,,,,,,,2.4,0.0,7.9,30.0,6.5,2.6,2.5,1.0,3.0,3.0,2.5,1.0,2.0,2.0,,,,,,2.1,0.0,8.3,40.1,0.7,1.0,21.8,130.1,3.5,4.0,7.0,14.0,0.9,3.0,3.4
BU00140505,,Driebond,Groningen,Buurt     ,1,1.8,0.0,3.8,19.5,2.2,5.3,18.6,26.0,2.2,5.3,12.9,19.0,2.9,0.9,9.6,13.0,,,,,,,,,,,,,,2.4,0.0,7.5,31.3,6.4,2.6,2.6,1.0,3.0,3.0,2.6,1.0,2.0,2.0,,,,,,2.1,0.0,8.0,42.0,0.4,1.0,18.6,135.3,3.5,4.1,7.0,13.9,0.6,2.9,3.4
BU00140506,,Eemspoort,Groningen,Buurt     ,1,2.5,0.0,0.9,10.5,3.9,0.0,8.8,26.0,4.1,0.0,6.1,19.0,4.0,0.0,4.3,13.0,,,,,,,,,,,,,,3.0,0.0,0.6,17.4,6.6,4.3,4.4,1.0,3.0,3.0,4.4,1.0,2.0,2.0,,,,,,2.9,0.0,0.6,16.1,0.4,0.9,2.1,55.4,4.2,1.3,7.0,13.0,0.9,3.1,4.8
BU00140507,,Euvelgunne,Groningen,Buurt     ,1,2.5,0.0,0.9,15.7,2.9,0.8,16.7,26.0,3.0,0.8,12.2,19.0,3.5,0.0,7.3,13.0,,,,,,,,,,,,,,2.6,0.0,3.2,25.3,6.1,3.2,3.3,1.0,3.0,3.0,3.3,1.0,2.0,2.0,,,,,,2.2,0.0,1.9,30.6,1.5,0.1,5.2,113.1,3.8,3.3,7.0,13.8,0.9,2.6,3.9
BU00140508,,Winschoterdiep,Groningen,Buurt     ,1,2.5,0.0,4.8,17.0,2.5,1.1,16.7,26.0,3.2,0.1,11.2,19.0,2.5,1.0,10.0,13.0,,,,,,,,,,,,,,1.4,0.0,2.8,28.0,5.1,3.0,3.4,2.1,3.0,3.0,3.4,1.1,2.0,2.0,,,,,,1.7,0.0,3.0,32.0,1.6,0.0,13.5,125.8,2.6,4.1,7.0,13.8,1.5,1.6,3.5
BU00140509,,Stainkoel'n,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140510,,Roodehaan,Groningen,Buurt     ,1,4.0,0.0,0.0,5.6,4.8,0.0,0.9,26.2,5.6,0.0,0.0,19.2,4.8,0.0,0.9,12.2,,,,,,,,,,,,,,3.8,0.0,0.0,2.8,7.5,5.3,5.8,0.0,3.0,3.0,6.1,0.0,2.0,2.0,,,,,,4.0,0.0,0.0,3.3,3.0,0.0,0.3,14.0,5.0,0.3,7.0,13.0,1.1,3.9,5.8
BU00140511,,Waterhuizen,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140600,,Sterrebosbuurt,Groningen,Buurt     ,1,1.6,0.0,9.8,21.3,0.7,9.0,16.9,26.7,1.4,6.3,10.9,19.7,0.7,4.0,9.4,13.0,,,,,,,,,,,,,,1.4,0.2,15.9,30.7,3.6,1.5,3.2,3.0,3.0,3.0,3.2,2.0,2.0,2.0,,,,,,1.3,0.1,18.2,39.8,0.8,3.1,71.5,143.0,0.8,5.1,7.0,14.0,1.1,2.1,2.3
BU00140601,,Coendersborg,Groningen,Buurt     ,1,1.1,0.5,7.3,20.7,1.0,9.4,15.1,26.9,1.6,6.6,10.0,19.9,1.0,4.4,9.0,13.0,,,,,,,,,,,,,,1.5,0.0,10.7,31.1,3.6,1.7,2.7,3.0,3.0,3.0,3.5,2.0,2.0,2.0,,,,,,0.5,1.0,9.8,35.0,0.5,4.0,31.6,135.9,1.1,5.0,7.6,14.0,1.8,1.8,3.1
BU00140602,,Klein Martijn,Groningen,Buurt     ,1,1.5,0.0,4.7,18.3,1.4,9.1,14.6,27.0,2.2,6.2,9.6,20.0,1.4,4.1,8.6,13.0,,,,,,,,,,,,,,1.8,0.0,6.6,29.6,4.0,2.2,2.8,3.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,,0.7,1.0,6.6,29.9,0.7,1.0,18.8,126.1,1.6,5.0,7.4,14.0,2.4,2.0,3.6
BU00140603,,Villabuurt,Groningen,Buurt     ,1,1.1,0.6,7.5,21.1,1.2,9.7,14.7,27.0,1.4,6.7,9.7,20.0,1.3,4.7,8.9,13.0,,,,,,,,,,,,,,1.8,0.0,10.1,30.5,3.3,1.7,1.8,3.0,3.0,3.0,3.2,2.0,2.0,2.0,,,,,,1.1,0.6,11.0,32.6,0.9,3.8,33.7,130.2,1.2,5.0,8.0,14.0,1.8,2.7,3.3
BU00140604,,Helpman,Groningen,Buurt     ,1,0.9,1.1,9.9,22.6,0.5,9.3,16.1,27.0,0.8,6.7,10.4,20.0,0.6,4.3,9.1,13.0,,,,,,,,,,,,,,0.9,2.4,15.5,32.5,3.0,0.9,2.7,3.0,3.0,3.0,2.9,2.0,2.0,2.0,,,,,,0.7,1.9,16.7,38.2,0.3,9.6,58.4,139.9,0.5,5.0,7.5,14.0,1.1,2.2,2.5
BU00140605,,De Wijert,Groningen,Buurt     ,1,0.6,1.7,9.0,21.8,0.3,9.2,17.0,27.0,0.3,6.3,11.5,20.0,0.7,4.2,9.2,13.0,,,,,,,,,,,,,,0.9,1.9,13.5,31.6,2.1,0.4,2.1,3.0,3.0,3.0,2.1,2.0,2.0,2.0,,,,,,0.4,3.3,14.9,37.2,0.3,9.7,52.5,139.2,0.8,5.3,8.0,14.0,0.5,2.3,2.3
BU00140606,,De Wijert-Zuid,Groningen,Buurt     ,1,0.6,1.8,7.3,20.3,0.8,8.5,14.4,27.0,0.8,6.3,9.4,20.0,1.5,3.5,8.9,13.0,,,,,,,,,,,,,,1.4,0.0,8.4,28.6,2.6,1.0,2.4,2.9,3.0,3.0,2.6,1.9,2.0,2.0,,,,,,1.1,0.8,7.6,31.9,1.0,1.9,22.9,126.7,1.5,5.0,7.9,14.0,1.1,3.1,3.2
BU00140700,,Corpus den Hoorn,Groningen,Buurt     ,1,0.5,1.5,9.4,20.2,1.3,9.7,17.7,27.0,1.3,6.8,12.3,20.0,1.6,4.7,9.3,13.0,,,,,,,,,,,,,,0.7,1.2,13.0,31.0,1.4,0.6,1.4,3.0,3.0,3.0,1.4,2.0,2.0,2.0,,,,,,0.7,1.4,14.6,36.5,0.5,6.1,54.7,135.5,0.6,4.8,8.0,14.0,1.1,2.3,2.3
BU00140701,,Hoornse Meer,Groningen,Buurt     ,1,1.4,0.1,8.2,15.6,1.6,7.2,13.4,26.9,1.6,5.3,9.1,19.9,2.2,2.3,7.8,12.9,,,,,,,,,,,,,,0.7,1.6,7.8,21.4,1.4,1.3,1.4,2.4,3.0,3.0,1.4,1.5,2.0,2.0,,,,,,0.5,1.0,7.1,25.8,1.3,0.4,20.5,106.8,1.5,4.0,7.6,14.0,1.0,3.3,3.4
BU00140702,,Hoornse Park,Groningen,Buurt     ,1,1.5,0.0,6.8,14.6,2.3,4.9,10.9,27.0,2.3,4.4,7.6,20.0,2.8,0.7,5.7,13.0,,,,,,,,,,,,,,1.4,0.1,4.1,19.0,1.4,1.4,1.4,1.3,3.0,3.0,1.4,1.0,2.0,2.0,,,,,,0.7,0.9,5.0,21.6,1.4,0.0,11.7,89.0,1.8,3.3,7.2,14.0,1.7,3.7,3.7
BU00140703,,Van Swieten,Groningen,Buurt     ,1,0.9,1.0,7.9,16.0,1.8,6.9,15.0,27.0,1.8,5.0,11.0,20.0,2.3,1.9,8.0,13.0,,,,,,,,,,,,,,0.9,1.8,8.9,22.0,0.8,0.8,0.8,3.0,3.0,3.0,0.8,2.0,2.0,2.0,,,,,,0.6,1.0,7.0,26.7,0.8,1.0,20.9,113.0,1.2,4.0,8.0,14.0,1.2,3.1,3.1
BU00140704,,Piccardthof,Groningen,Buurt     ,1,1.1,0.6,4.1,10.3,3.1,0.5,9.9,26.9,3.1,0.5,7.0,19.9,3.6,0.0,4.9,12.9,,,,,,,,,,,,,,1.1,0.4,3.2,12.4,2.1,1.1,2.1,1.0,3.0,3.0,2.1,1.0,2.0,2.0,,,,,,1.9,0.0,2.3,12.8,2.1,0.0,7.0,46.1,2.6,3.0,7.0,14.0,2.5,4.4,4.4
BU00140705,,Bruilweering,Groningen,Buurt     ,1,2.2,0.0,3.0,7.1,4.0,0.0,6.7,23.8,4.0,0.0,5.4,16.8,4.4,0.0,1.7,12.0,,,,,,,,,,,,,,2.2,0.0,1.5,5.9,2.6,2.2,2.6,1.0,3.0,3.0,2.6,1.0,2.0,2.0,,,,,,2.7,0.0,1.0,7.1,2.6,0.0,1.0,17.7,3.4,2.1,7.0,14.0,3.0,5.3,5.3
BU00140800,,Hoogkerk Dorp,Groningen,Buurt     ,1,0.9,1.1,6.7,13.0,2.9,0.8,4.1,25.1,2.9,0.8,3.5,18.8,4.6,0.0,1.6,12.1,,,,,,,,,,,,,,1.4,0.0,3.3,10.6,6.9,1.1,6.4,0.0,2.8,3.0,6.4,0.0,2.0,2.0,,,,,,0.5,1.6,4.4,15.4,0.5,2.3,6.0,40.8,4.3,1.9,5.5,13.0,2.0,4.8,5.0
BU00140801,,Hoogkerk-Zuid,Groningen,Buurt     ,1,0.4,2.5,3.2,10.1,3.6,0.0,3.8,24.5,3.6,0.0,3.2,18.0,4.3,0.0,1.8,12.3,,,,,,,,,,,,,,0.6,1.4,2.2,8.1,6.6,0.8,6.5,0.0,2.8,3.0,6.5,0.0,2.0,2.0,,,,,,0.6,1.5,3.0,9.4,0.5,2.0,4.0,23.9,4.6,1.0,5.3,12.9,1.1,5.1,5.1
BU00140802,,Westpoort,Groningen,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00140803,,Vierverlaten,Groningen,Buurt     ,1,2.2,0.0,2.9,8.4,3.8,0.0,2.0,20.0,3.8,0.0,2.0,14.0,5.7,0.0,0.0,10.8,,,,,,,,,,,,,,2.7,0.0,1.3,5.7,7.7,2.2,7.3,0.0,2.0,3.0,7.3,0.0,2.0,2.0,,,,,,1.4,0.0,3.0,6.9,1.4,0.0,3.9,8.9,5.4,0.0,6.0,13.0,1.8,5.8,5.8
