Date;source;target;Rides planned;Final arrival delay;Final arrival cancelled;Completely cancelled;Intermediate arrival delays;Statistical Causes;Disruption Count;DR;RH;SQ;TG;TN;TX;RHX;VVX;T10N;FHVEC;Disrupted;year;source_WorkHistory_NotEmployed_Last4Y_pct;source_WorkHistory_ConstantlyEmployed_Last4Y_pct;source_WorkHistory_Retired_pct;source_Wealth_Percentile_1_40_pct;source_Income_Avg_Percentile_Score;source_Edu_Low_pct;source_Edu_High_Total_pct;source_PrivateHouseholds_Count;source_SES_Score_WorkHistory_Avg;source_SES_Score_Wealth_Avg;source_SES_Score_Education_Avg;source_NetWorth_Avg_Percentile_Score;source_Population;source_TotalPropertyDamageAndViolence_Index;source_BicycleTheft;source_TotalVandalism;source_TotalViolentAndSexualCrimes;source_TotalPropertyCrimes_Rate;source_Dist_Secondary_Total;source_Dist_GP_Surgery;source_Dist_Supermarket;source_Dist_Highway_Entrance;source_Dist_Train_Station_Total;source_Dist_Major_Transfer_Station;target_WorkHistory_NotEmployed_Last4Y_pct;target_WorkHistory_ConstantlyEmployed_Last4Y_pct;target_WorkHistory_Retired_pct;target_Wealth_Percentile_1_40_pct;target_Income_Avg_Percentile_Score;target_Edu_Low_pct;target_Edu_High_Total_pct;target_PrivateHouseholds_Count;target_SES_Score_WorkHistory_Avg;target_SES_Score_Wealth_Avg;target_SES_Score_Education_Avg;target_NetWorth_Avg_Percentile_Score;target_Population;target_TotalPropertyDamageAndViolence_Index;target_BicycleTheft;target_TotalVandalism;target_TotalViolentAndSexualCrimes;target_TotalPropertyCrimes_Rate;target_Dist_Secondary_Total;target_Dist_GP_Surgery;target_Dist_Supermarket;target_Dist_Highway_Entrance;target_Dist_Train_Station_Total;target_Dist_Major_Transfer_Station
2022-12-04;Amersfoort Centraal;Hoofddorp;6;1;0;0;5;No Disruption;0.0;0.0;0.0;0.0;11.0;0.0;30.0;0.0;   67;-2.0;39.0;False;2022;4.881196581196582;59.06581196581197;22.984615384615385;33.49059829059829;56.246153846153845;15.897435897435898;35.37996430763837;479.3103448275862;0.04611965811965812;0.05852991452991453;0.07897435897435898;54.414529914529915;;;;;;;1.217365269461078;0.9604790419161677;0.9640718562874252;1.7467065868263472;2.695808383233533;4.536526946107784;3.2985714285714285;59.28285714285715;26.46;27.837142857142855;58.09714285714286;17.08;35.37996430763837;689.6907216494845;0.06227142857142857;0.10101428571428571;0.04752857142857143;59.40714285714286;;;;;;;3.5808695652173914;1.7721739130434784;1.7321739130434781;1.4530434782608694;4.242608695652174;8.765217391304347
2021-12-02;Leiden Centraal;Alphen a/d Rijn;18;0;6;6;0;No Disruption;0.0;27.0;34.0;34.0;34.0;7.0;70.0;12.0;   80;-3.0;22.0;False;2021;5.801923076923076;46.651923076923076;20.976923076923075;45.24615384615385;47.83461538461539;13.598076923076924;35.37996430763837;1231.4814814814815;-0.04986538461538462;-0.06115384615384615;0.10555769230769231;46.98846153846154;;;;;;;1.2507692307692306;0.6984615384615385;0.7523076923076922;2.146153846153846;1.7661538461538462;2.546153846153846;3.170886075949367;60.20759493670886;28.435443037974686;29.66835443037975;57.34177215189873;17.77974683544304;35.37996430763837;490.0;0.07355696202531646;0.08725316455696203;0.03512658227848101;56.23291139240506;;;;;;;2.174782608695652;1.2191304347826086;1.333913043478261;1.6843478260869564;3.796521739130435;14.574782608695651
2024-09-27;Venlo;Dordrecht;32;14;3;0;31;No Disruption;0.0;34.0;41.0;25.0;126.0;95.0;160.0;18.0;   82;87.0;67.0;False;2024;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231
2019-03-28;Nijmegen;Zutphen;6;3;0;0;5;No Disruption;0.0;0.0;-1;2;85;29;112;-1;   75;9;4;False;2019;8.472972972972974;44.627027027027026;21.33243243243243;53.32702702702702;42.71081081081081;19.51860987650697;45.25135135135135;2138.6363636363635;0.03605521939025223;0.05269473328940458;0.025174107354664754;41.7027027027027;;;;;;;1.498076923076923;1.021153846153846;0.8711538461538461;2.036538461538462;2.0;4.098076923076923;9.09032258064516;48.832258064516125;29.654838709677417;44.91290322580645;47.4741935483871;19.51860987650697;36.358064516129026;716.1290322580645;0.03605521939025223;0.05269473328940458;0.025174107354664754;47.20645161290323;;;;;;;1.2815789473684212;0.8894736842105262;0.8605263157894738;1.0473684210526315;2.744736842105263;2.794736842105263
2020-01-05;Dordrecht;Eindhoven Centraal;1;0;0;0;1;No Disruption;0.0;0.0;-1.0;    0;72.0;57.0;78.0;-1.0;   75;53.0;40.0;False;2020;6.996666666666667;53.78666666666667;25.78777777777778;39.80222222222222;51.75666666666667;22.043333333333333;35.37996430763837;413.6363636363636;0.003688888888888889;0.0006777777777777778;0.00861111111111111;47.98777777777777;;;;;;;1.708130081300813;1.1544715447154472;0.9658536585365853;1.583739837398374;2.0983739837398376;3.191869918699187;6.986315789473685;49.23789473684211;23.36;43.78526315789474;49.51578947368421;19.063157894736843;35.37996430763837;1018.1034482758621;-0.03016842105263158;-0.03514736842105263;0.05587368421052631;47.86842105263158;;;;;;;1.478030303030303;1.012121212121212;0.8757575757575757;2.6234848484848485;3.403787878787879;3.912121212121212
2020-10-28;Roosendaal;Zwolle;35;19;1;0;33;No Disruption;0.0;74.0;194.0;13.0;102.0;86.0;121.0;49.0;   75;   76;63.0;False;2020;5.080952380952381;52.92619047619048;30.923809523809524;36.87380952380953;51.15714285714286;23.645238095238096;35.37996430763837;629.0909090909091;0.021047619047619048;0.02292857142857143;-0.013690476190476189;53.13571428571428;;;;;;;3.189855072463768;1.2884057971014493;1.4753623188405798;1.8057971014492755;3.8449275362318844;4.128985507246377;6.0704918032786885;54.65573770491803;22.488524590163934;39.65409836065574;50.97704918032787;16.870491803278686;35.37996430763837;764.1025641025641;0.00757377049180328;-0.0022950819672131143;0.055426229508196714;50.122950819672134;;;;;;;2.008695652173913;1.4489130434782609;1.3684782608695654;1.8043478260869565;3.183695652173913;3.731521739130435
2022-04-02;Amsterdam Centraal;Zandvoort aan Zee;35;4;1;1;9;No Disruption;0.0;0.0;-1.0;99.0;38.0;0.0;79.0;-1.0;   83;-30.0;46.0;False;2022;8.599760765550238;49.77129186602871;17.86578947368421;47.797129186602874;48.81435406698565;17.701913875598084;35.37996430763837;929.4003868471954;-0.04431818181818181;-0.06557177033492823;0.07953827751196173;41.834688995215316;;;;;;;1.2122657580919933;0.766098807495741;0.7597955706984668;2.1819420783645653;2.890289608177172;3.808517887563884;5.066666666666666;43.94166666666666;41.025;31.200000000000003;55.800000000000004;20.366666666666667;35.37996430763837;457.89473684210526;-0.005916666666666667;0.08816666666666667;0.03891666666666666;62.925000000000004;;;;;;;1.6150000000000002;1.1099999999999999;1.08;2.1399999999999997;1.45;9.290000000000001
2024-09-29;Amsterdam Centraal;Roosendaal;1;0;0;0;1;No Disruption;0.0;0.0;0.0;68.0;101.0;50.0;144.0;0.0;   83;24.0;34.0;False;2024;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231
2022-05-05;Maastricht;Schagen;2;0;1;0;2;No Disruption;0.0;0.0;0.0;30.0;129.0;66.0;188.0;0.0;   70;49.0;11.0;False;2022;10.015789473684212;39.93157894736842;28.555263157894736;53.72894736842105;42.06842105263158;19.794736842105266;35.37996430763837;1429.5454545454545;-0.09828947368421052;-0.12742105263157893;0.030131578947368422;42.81842105263158;;;;;;;2.211764705882353;0.9803921568627451;0.9235294117647059;2.717647058823529;2.919607843137255;3.433333333333333;3.5418604651162795;54.579069767441865;34.96511627906977;28.293023255813953;54.73255813953488;20.653488372093022;35.37996430763837;266.6666666666667;0.051162790697674425;0.09104651162790697;0.003627906976744186;60.06511627906977;;;;;;;5.909574468085107;1.677659574468085;1.7659574468085106;1.4734042553191489;6.829787234042553;19.17872340425532
2024-08-14;Eindhoven Centraal;Maastricht;2;2;0;0;2;No Disruption;0.0;0.0;-1.0;29.0;206.0;167.0;243.0;-1.0;   79;143.0;17.0;False;2024;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231
