Model,Feature Set,Balanced Accuracy,F1-Score,AUC-ROC,Threshold,tau
LSTM,T,0.6141011175585643,0.7227112676056338,0.6979789584676553,0.40923547744750977,0.0031
GRU,T,0.505895390070922,0.7038156403475633,0.594049034225231,0.34075579047203064,0.0031
LSTM,T+O+W,0.6865946701053085,0.7533823878471398,0.7956452826133678,0.38363707065582275,0.0031
GRU,T+O+W,0.7193504190844616,0.7662531017369727,0.8073860278315065,0.43008410930633545,0.0031
LSTM,T+O+W+S,0.7074871050934881,0.7578375709701308,0.7966631071351816,0.4421994686126709,0.0031
GRU,T+O+W+S,0.7408016333548249,0.7652495378927912,0.8078197198044271,0.3940674364566803,0.0031
