Baseline,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,AUC-ROC,PR-AUC,TP,TN,FP,FN
Persistence (t-1 label),0.6802,0.6448,0.6823,0.663,0.6792,N/A,N/A,2796,3243,1540,1302
Rolling Freq 3m,0.6885,0.6474,0.7069,0.6758,0.6867,0.7426,0.6699,2897,3205,1578,1201
