"Fietsnetwerk naar wegtype ";"Perioden";"Regio's";"Lengte van fietsnetwerk  (km)"
"Totale fietsnetwerklengte";"2024";"Brunssum";171,9
"Totale fietsnetwerklengte";"2025";"Brunssum";172,6
"Totale fietsnetwerklengte";"2024";"Bunnik";145,2
"Totale fietsnetwerklengte";"2025";"Bunnik";145,2
"Totale fietsnetwerklengte";"2024";"Bunschoten";152,4
"Totale fietsnetwerklengte";"2025";"Bunschoten";152,4
"Totale fietsnetwerklengte";"2024";"Buren";494,1
"Totale fietsnetwerklengte";"2025";"Buren";494,7
"Totale fietsnetwerklengte";"2024";"Capelle aan den IJssel";264,6
"Totale fietsnetwerklengte";"2025";"Capelle aan den IJssel";264,2
"Totale fietsnetwerklengte";"2024";"Castricum";256,9
"Totale fietsnetwerklengte";"2025";"Castricum";257,4
"Totale fietsnetwerklengte";"2024";"Coevorden";898,1
"Totale fietsnetwerklengte";"2025";"Coevorden";898,4
"Totale fietsnetwerklengte";"2024";"Cranendonck";303
"Totale fietsnetwerklengte";"2025";"Cranendonck";303
"Totale fietsnetwerklengte";"2024";"Culemborg";211,5
"Totale fietsnetwerklengte";"2025";"Culemborg";212,7
"Totale fietsnetwerklengte";"2024";"Dalfsen";584,2
"Totale fietsnetwerklengte";"2025";"Dalfsen";584,8
"Totale fietsnetwerklengte";"2024";"Dantumadiel";266,9
"Totale fietsnetwerklengte";"2025";"Dantumadiel";268,3
"Totale fietsnetwerklengte";"2024";"Delft";363,3
"Totale fietsnetwerklengte";"2025";"Delft";369,8
"Totale fietsnetwerklengte";"2024";"Deurne";528,3
"Totale fietsnetwerklengte";"2025";"Deurne";528,5
"Totale fietsnetwerklengte";"2024";"Deventer";862,3
"Totale fietsnetwerklengte";"2025";"Deventer";868,6
"Totale fietsnetwerklengte";"2024";"Diemen";131,3
"Totale fietsnetwerklengte";"2025";"Diemen";131,5
"Totale fietsnetwerklengte";"2024";"Dijk en Waard";553,3
"Totale fietsnetwerklengte";"2025";"Dijk en Waard";554,1
"Totale fietsnetwerklengte";"2024";"Dinkelland";691
"Totale fietsnetwerklengte";"2025";"Dinkelland";691,9
"Totale fietsnetwerklengte";"2024";"Doesburg";80,4
"Totale fietsnetwerklengte";"2025";"Doesburg";80,4
"Totale fietsnetwerklengte";"2024";"Doetinchem";535,1
"Totale fietsnetwerklengte";"2025";"Doetinchem";535,2
"Totale fietsnetwerklengte";"2024";"Dongen";192,9
"Totale fietsnetwerklengte";"2025";"Dongen";192,8
"Totale fietsnetwerklengte";"2024";"Dordrecht";651,7
"Totale fietsnetwerklengte";"2025";"Dordrecht";655,2
"Totale fietsnetwerklengte";"2024";"Drechterland";182
"Totale fietsnetwerklengte";"2025";"Drechterland";181,1
"Totale fietsnetwerklengte";"2024";"Drimmelen";319,3
"Totale fietsnetwerklengte";"2025";"Drimmelen";318,2
"Totale fietsnetwerklengte";"2024";"Dronten";746,8
"Totale fietsnetwerklengte";"2025";"Dronten";739,1
"Totale fietsnetwerklengte";"2024";"Druten";187,9
"Totale fietsnetwerklengte";"2025";"Druten";189,7
"Totale fietsnetwerklengte";"2024";"Duiven";221,6
"Totale fietsnetwerklengte";"2025";"Duiven";221,6
"Totale fietsnetwerklengte";"2024";"Echt-Susteren";523,3
"Totale fietsnetwerklengte";"2025";"Echt-Susteren";523,8
"Totale fietsnetwerklengte";"2024";"Edam-Volendam";253,6
"Totale fietsnetwerklengte";"2025";"Edam-Volendam";256
"Totale fietsnetwerklengte";"2024";"Ede";1132,2
"Totale fietsnetwerklengte";"2025";"Ede";1131,5
"Totale fietsnetwerklengte";"2024";"Eemnes";107,4
"Totale fietsnetwerklengte";"2025";"Eemnes";108,2
"Totale fietsnetwerklengte";"2024";"Eemsdelta";803,5
"Totale fietsnetwerklengte";"2025";"Eemsdelta";805,7
"Totale fietsnetwerklengte";"2024";"Eersel";298,2
"Totale fietsnetwerklengte";"2025";"Eersel";298,2
"Totale fietsnetwerklengte";"2024";"Eijsden-Margraten";408,3
"Totale fietsnetwerklengte";"2025";"Eijsden-Margraten";408,6
"Totale fietsnetwerklengte";"2024";"Eindhoven";1145,9
"Totale fietsnetwerklengte";"2025";"Eindhoven";1146
"Totale fietsnetwerklengte";"2024";"Elburg";260
"Totale fietsnetwerklengte";"2025";"Elburg";261,9
"Totale fietsnetwerklengte";"2024";"Emmen";1268,7
"Totale fietsnetwerklengte";"2025";"Emmen";1267,9
"Totale fietsnetwerklengte";"2024";"Enkhuizen";126,7
"Totale fietsnetwerklengte";"2025";"Enkhuizen";126,6
"Totale fietsnetwerklengte";"2024";"Enschede";1149,4
"Totale fietsnetwerklengte";"2025";"Enschede";1149
"Totale fietsnetwerklengte";"2024";"Epe";615,2
"Totale fietsnetwerklengte";"2025";"Epe";616,5
"Totale fietsnetwerklengte";"2024";"Ermelo";381
"Totale fietsnetwerklengte";"2025";"Ermelo";381,2
"Totale fietsnetwerklengte";"2024";"Etten-Leur";362,7
"Totale fietsnetwerklengte";"2025";"Etten-Leur";363,9
"Totale fietsnetwerklengte";"2024";"De Fryske Marren";897
"Totale fietsnetwerklengte";"2025";"De Fryske Marren";897
"Totale fietsnetwerklengte";"2024";"Geertruidenberg";178,9
"Totale fietsnetwerklengte";"2025";"Geertruidenberg";178,8
"Totale fietsnetwerklengte";"2024";"Geldrop-Mierlo";279
"Totale fietsnetwerklengte";"2025";"Geldrop-Mierlo";280
"Totale fietsnetwerklengte";"2024";"Gemert-Bakel";483,2
"Totale fietsnetwerklengte";"2025";"Gemert-Bakel";483,5
"Totale fietsnetwerklengte";"2024";"Gennep";247,4
"Totale fietsnetwerklengte";"2025";"Gennep";247
"Totale fietsnetwerklengte";"2024";"Gilze en Rijen";270,1
"Totale fietsnetwerklengte";"2025";"Gilze en Rijen";270,4
"Totale fietsnetwerklengte";"2024";"Goeree-Overflakkee";904,2
"Totale fietsnetwerklengte";"2025";"Goeree-Overflakkee";906,5
"Totale fietsnetwerklengte";"2024";"Goes";499,4
"Totale fietsnetwerklengte";"2025";"Goes";500,4
"Totale fietsnetwerklengte";"2024";"Goirle";201
"Totale fietsnetwerklengte";"2025";"Goirle";201
"Totale fietsnetwerklengte";"2024";"Gooise Meren";342,1
"Totale fietsnetwerklengte";"2025";"Gooise Meren";344,2
"Totale fietsnetwerklengte";"2024";"Gorinchem";193,5
"Totale fietsnetwerklengte";"2025";"Gorinchem";194,3
"Totale fietsnetwerklengte";"2024";"Gouda";306,3
"Totale fietsnetwerklengte";"2025";"Gouda";304,7
"Totale fietsnetwerklengte";"2024";"'s-Gravenhage (gemeente)";1437,2
"Totale fietsnetwerklengte";"2025";"'s-Gravenhage (gemeente)";1442,8
"Totale fietsnetwerklengte";"2024";"Groningen (gemeente)";1217,2
"Totale fietsnetwerklengte";"2025";"Groningen (gemeente)";1221,4
"Totale fietsnetwerklengte";"2024";"Gulpen-Wittem";304,7
"Totale fietsnetwerklengte";"2025";"Gulpen-Wittem";305,1
"Totale fietsnetwerklengte";"2024";"Haaksbergen";439,2
"Totale fietsnetwerklengte";"2025";"Haaksbergen";438,9
"Totale fietsnetwerklengte";"2024";"Haarlem";546,3
"Totale fietsnetwerklengte";"2025";"Haarlem";546,6
"Totale fietsnetwerklengte";"2024";"Haarlemmermeer";1097,3
"Totale fietsnetwerklengte";"2025";"Haarlemmermeer";1100,2
"Totale fietsnetwerklengte";"2024";"Halderberge";343
"Totale fietsnetwerklengte";"2025";"Halderberge";343,6
"Totale fietsnetwerklengte";"2024";"Hardenberg";1074,1
"Totale fietsnetwerklengte";"2025";"Hardenberg";1074,6
"Totale fietsnetwerklengte";"2024";"Harderwijk";362,1
"Totale fietsnetwerklengte";"2025";"Harderwijk";366,6
"Totale fietsnetwerklengte";"2024";"Hardinxveld-Giessendam";110,3
"Totale fietsnetwerklengte";"2025";"Hardinxveld-Giessendam";109,1
"Totale fietsnetwerklengte";"2024";"Harlingen";148,8
"Totale fietsnetwerklengte";"2025";"Harlingen";149,4
"Totale fietsnetwerklengte";"2024";"Hattem";129,3
"Totale fietsnetwerklengte";"2025";"Hattem";130,3
"Totale fietsnetwerklengte";"2024";"Heemskerk";207,2
"Totale fietsnetwerklengte";"2025";"Heemskerk";205,2
"Totale fietsnetwerklengte";"2024";"Heemstede";117
"Totale fietsnetwerklengte";"2025";"Heemstede";117,1
"Totale fietsnetwerklengte";"2024";"Heerde";330,8
"Totale fietsnetwerklengte";"2025";"Heerde";331,2
"Totale fietsnetwerklengte";"2024";"Heerenveen";658,8
"Totale fietsnetwerklengte";"2025";"Heerenveen";660,7
"Totale fietsnetwerklengte";"2024";"Heerlen";477,6
"Totale fietsnetwerklengte";"2025";"Heerlen";482,1
"Totale fietsnetwerklengte";"2024";"Heeze-Leende";296,4
"Totale fietsnetwerklengte";"2025";"Heeze-Leende";296,4
"Totale fietsnetwerklengte";"2024";"Heiloo";162,7
"Totale fietsnetwerklengte";"2025";"Heiloo";163,5
"Totale fietsnetwerklengte";"2024";"Den Helder";399,3
"Totale fietsnetwerklengte";"2025";"Den Helder";399,3
"Totale fietsnetwerklengte";"2024";"Hellendoorn";568,5
"Totale fietsnetwerklengte";"2025";"Hellendoorn";567,9
"Totale fietsnetwerklengte";"2024";"Hellevoetsluis";
"Totale fietsnetwerklengte";"2025";"Hellevoetsluis";
"Totale fietsnetwerklengte";"2024";"Helmond";616,6
"Totale fietsnetwerklengte";"2025";"Helmond";618
"Totale fietsnetwerklengte";"2024";"Hendrik-Ido-Ambacht";151,7
"Totale fietsnetwerklengte";"2025";"Hendrik-Ido-Ambacht";151,7
"Totale fietsnetwerklengte";"2024";"Hengelo (O.)";611,6
"Totale fietsnetwerklengte";"2025";"Hengelo (O.)";612,4
"Totale fietsnetwerklengte";"2024";"'s-Hertogenbosch";982,8
"Totale fietsnetwerklengte";"2025";"'s-Hertogenbosch";983,5
"Totale fietsnetwerklengte";"2024";"Heumen";215,2
"Totale fietsnetwerklengte";"2025";"Heumen";215,2
"Totale fietsnetwerklengte";"2024";"Heusden";400,9
"Totale fietsnetwerklengte";"2025";"Heusden";400,1
"Totale fietsnetwerklengte";"2024";"Hillegom";113
"Totale fietsnetwerklengte";"2025";"Hillegom";113,8
"Totale fietsnetwerklengte";"2024";"Hilvarenbeek";309,2
"Totale fietsnetwerklengte";"2025";"Hilvarenbeek";308,8
"Totale fietsnetwerklengte";"2024";"Hilversum";444,6
"Totale fietsnetwerklengte";"2025";"Hilversum";442,5
"Totale fietsnetwerklengte";"2024";"Hoeksche Waard";934,1
"Totale fietsnetwerklengte";"2025";"Hoeksche Waard";937
"Totale fietsnetwerklengte";"2024";"Hof van Twente";823,5
"Totale fietsnetwerklengte";"2025";"Hof van Twente";822,4
"Totale fietsnetwerklengte";"2024";"Het Hogeland";1062,9
"Totale fietsnetwerklengte";"2025";"Het Hogeland";1061,7
"Totale fietsnetwerklengte";"2024";"Hollands Kroon";886,5
"Totale fietsnetwerklengte";"2025";"Hollands Kroon";897,7
"Totale fietsnetwerklengte";"2024";"Hoogeveen";589,9
"Totale fietsnetwerklengte";"2025";"Hoogeveen";595,3
"Totale fietsnetwerklengte";"2024";"Hoorn";341,2
"Totale fietsnetwerklengte";"2025";"Hoorn";345,5
"Totale fietsnetwerklengte";"2024";"Horst aan de Maas";780,3
"Totale fietsnetwerklengte";"2025";"Horst aan de Maas";781,3
"Totale fietsnetwerklengte";"2024";"Houten";355,2
"Totale fietsnetwerklengte";"2025";"Houten";353,6
"Totale fietsnetwerklengte";"2024";"Huizen";230
"Totale fietsnetwerklengte";"2025";"Huizen";229,9
"Totale fietsnetwerklengte";"2024";"Hulst";589,4
"Totale fietsnetwerklengte";"2025";"Hulst";589,2
"Totale fietsnetwerklengte";"2024";"IJsselstein";173,9
"Totale fietsnetwerklengte";"2025";"IJsselstein";173,9
"Totale fietsnetwerklengte";"2024";"Kaag en Braassem";226,5
"Totale fietsnetwerklengte";"2025";"Kaag en Braassem";226,1
"Totale fietsnetwerklengte";"2024";"Kampen";574,6
"Totale fietsnetwerklengte";"2025";"Kampen";576
"Totale fietsnetwerklengte";"2024";"Kapelle";212,9
"Totale fietsnetwerklengte";"2025";"Kapelle";212,8
"Totale fietsnetwerklengte";"2024";"Katwijk";263,7
"Totale fietsnetwerklengte";"2025";"Katwijk";263,9
"Totale fietsnetwerklengte";"2024";"Kerkrade";245
"Totale fietsnetwerklengte";"2025";"Kerkrade";246
"Totale fietsnetwerklengte";"2024";"Koggenland";241,2
"Totale fietsnetwerklengte";"2025";"Koggenland";241,2
"Totale fietsnetwerklengte";"2024";"Krimpen aan den IJssel";134,3
"Totale fietsnetwerklengte";"2025";"Krimpen aan den IJssel";134,1
"Totale fietsnetwerklengte";"2024";"Krimpenerwaard";457,5
"Totale fietsnetwerklengte";"2025";"Krimpenerwaard";458,7
"Totale fietsnetwerklengte";"2024";"Laarbeek";309,3
"Totale fietsnetwerklengte";"2025";"Laarbeek";309,4
"Totale fietsnetwerklengte";"2024";"Land van Cuijk";1514
"Totale fietsnetwerklengte";"2025";"Land van Cuijk";1521,3
"Totale fietsnetwerklengte";"2024";"Landgraaf";232,7
"Totale fietsnetwerklengte";"2025";"Landgraaf";232,4
"Totale fietsnetwerklengte";"2024";"Landsmeer";85,5
"Totale fietsnetwerklengte";"2025";"Landsmeer";85,4
"Totale fietsnetwerklengte";"2024";"Lansingerland";466,8
"Totale fietsnetwerklengte";"2025";"Lansingerland";465,8
"Totale fietsnetwerklengte";"2024";"Laren (NH.)";103,9
"Totale fietsnetwerklengte";"2025";"Laren (NH.)";103,9
"Totale fietsnetwerklengte";"2024";"Leeuwarden";1027,3
"Totale fietsnetwerklengte";"2025";"Leeuwarden";1029
