"Fietsnetwerk naar wegtype ";"Perioden";"Regio's";"Lengte van fietsnetwerk  (km)"
"Normale weg";"2024";"Soest";139,4
"Normale weg";"2025";"Soest";145,8
"Normale weg";"2024";"Someren";238,7
"Normale weg";"2025";"Someren";238,7
"Normale weg";"2024";"Son en Breugel";106,9
"Normale weg";"2025";"Son en Breugel";105,9
"Normale weg";"2024";"Stadskanaal";312,1
"Normale weg";"2025";"Stadskanaal";312,2
"Normale weg";"2024";"Staphorst";371,1
"Normale weg";"2025";"Staphorst";371,1
"Normale weg";"2024";"Stede Broec";42,9
"Normale weg";"2025";"Stede Broec";42,9
"Normale weg";"2024";"Steenbergen";299,9
"Normale weg";"2025";"Steenbergen";300,3
"Normale weg";"2024";"Steenwijkerland";553,6
"Normale weg";"2025";"Steenwijkerland";553,6
"Normale weg";"2024";"Stein (L.)";125,9
"Normale weg";"2025";"Stein (L.)";122,1
"Normale weg";"2024";"Stichtse Vecht";244,5
"Normale weg";"2025";"Stichtse Vecht";245
"Normale weg";"2024";"Súdwest-Fryslân";1020,2
"Normale weg";"2025";"Súdwest-Fryslân";1020,1
"Normale weg";"2024";"Terneuzen";675,2
"Normale weg";"2025";"Terneuzen";677,9
"Normale weg";"2024";"Terschelling";101,8
"Normale weg";"2025";"Terschelling";101,8
"Normale weg";"2024";"Texel";216,3
"Normale weg";"2025";"Texel";215,6
"Normale weg";"2024";"Teylingen";58,8
"Normale weg";"2025";"Teylingen";58,8
"Normale weg";"2024";"Tholen";402
"Normale weg";"2025";"Tholen";401,7
"Normale weg";"2024";"Tiel";171,8
"Normale weg";"2025";"Tiel";175,8
"Normale weg";"2024";"Tilburg";691,9
"Normale weg";"2025";"Tilburg";696,3
"Normale weg";"2024";"Tubbergen";405,3
"Normale weg";"2025";"Tubbergen";405,8
"Normale weg";"2024";"Twenterand";304,7
"Normale weg";"2025";"Twenterand";305,8
"Normale weg";"2024";"Tynaarlo";389,2
"Normale weg";"2025";"Tynaarlo";390,7
"Normale weg";"2024";"Tytsjerksteradiel";360,8
"Normale weg";"2025";"Tytsjerksteradiel";360,9
"Normale weg";"2024";"Uitgeest";65
"Normale weg";"2025";"Uitgeest";65
"Normale weg";"2024";"Uithoorn";88,3
"Normale weg";"2025";"Uithoorn";88,6
"Normale weg";"2024";"Urk";75,6
"Normale weg";"2025";"Urk";77
"Normale weg";"2024";"Utrecht (gemeente)";746,4
"Normale weg";"2025";"Utrecht (gemeente)";750
"Normale weg";"2024";"Utrechtse Heuvelrug";307,1
"Normale weg";"2025";"Utrechtse Heuvelrug";309,8
"Normale weg";"2024";"Vaals";68,6
"Normale weg";"2025";"Vaals";68,6
"Normale weg";"2024";"Valkenburg aan de Geul";137,6
"Normale weg";"2025";"Valkenburg aan de Geul";137,7
"Normale weg";"2024";"Valkenswaard";119,1
"Normale weg";"2025";"Valkenswaard";119,6
"Normale weg";"2024";"Veendam";209,7
"Normale weg";"2025";"Veendam";210,5
"Normale weg";"2024";"Veenendaal";194,7
"Normale weg";"2025";"Veenendaal";194,7
"Normale weg";"2024";"Veere";334,4
"Normale weg";"2025";"Veere";335,4
"Normale weg";"2024";"Veldhoven";203,8
"Normale weg";"2025";"Veldhoven";207,2
"Normale weg";"2024";"Velsen";229,1
"Normale weg";"2025";"Velsen";228,7
"Normale weg";"2024";"Venlo";417,2
"Normale weg";"2025";"Venlo";419,8
"Normale weg";"2024";"Venray";289,7
"Normale weg";"2025";"Venray";397,8
"Normale weg";"2024";"Vijfheerenlanden";347
"Normale weg";"2025";"Vijfheerenlanden";353,5
"Normale weg";"2024";"Vlaardingen";175
"Normale weg";"2025";"Vlaardingen";177
"Normale weg";"2024";"Vlieland";41,2
"Normale weg";"2025";"Vlieland";41,2
"Normale weg";"2024";"Vlissingen";209,3
"Normale weg";"2025";"Vlissingen";209,1
"Normale weg";"2024";"Voerendaal";113,8
"Normale weg";"2025";"Voerendaal";113,8
"Normale weg";"2024";"Voorne aan Zee";416,5
"Normale weg";"2025";"Voorne aan Zee";417,3
"Normale weg";"2024";"Voorschoten";24,2
"Normale weg";"2025";"Voorschoten";65,7
"Normale weg";"2024";"Voorst";310,9
"Normale weg";"2025";"Voorst";310,9
"Normale weg";"2024";"Vught";171,1
"Normale weg";"2025";"Vught";171,3
"Normale weg";"2024";"Waadhoeke";567,7
"Normale weg";"2025";"Waadhoeke";568,5
"Normale weg";"2024";"Waalre";70,2
"Normale weg";"2025";"Waalre";70,2
"Normale weg";"2024";"Waalwijk";243,5
"Normale weg";"2025";"Waalwijk";243,7
"Normale weg";"2024";"Waddinxveen";110,1
"Normale weg";"2025";"Waddinxveen";110,4
"Normale weg";"2024";"Wageningen";138,6
"Normale weg";"2025";"Wageningen";143
"Normale weg";"2024";"Wassenaar";106,1
"Normale weg";"2025";"Wassenaar";107,5
"Normale weg";"2024";"Waterland";98,6
"Normale weg";"2025";"Waterland";98,6
"Normale weg";"2024";"Weert";438,7
"Normale weg";"2025";"Weert";438,8
"Normale weg";"2024";"Weesp";
"Normale weg";"2025";"Weesp";
"Normale weg";"2024";"West Betuwe";529,3
"Normale weg";"2025";"West Betuwe";534
"Normale weg";"2024";"West Maas en Waal";234,8
"Normale weg";"2025";"West Maas en Waal";234,4
"Normale weg";"2024";"Westerkwartier";745,4
"Normale weg";"2025";"Westerkwartier";746,2
"Normale weg";"2024";"Westerveld";463,2
"Normale weg";"2025";"Westerveld";463,1
"Normale weg";"2024";"Westervoort";56,9
"Normale weg";"2025";"Westervoort";56,9
"Normale weg";"2024";"Westerwolde";494,5
"Normale weg";"2025";"Westerwolde";494,5
"Normale weg";"2024";"Westland";469,2
"Normale weg";"2025";"Westland";470,2
"Normale weg";"2024";"Weststellingwerf";368,2
"Normale weg";"2025";"Weststellingwerf";369,5
"Normale weg";"2024";"Westvoorne";
"Normale weg";"2025";"Westvoorne";
"Normale weg";"2024";"Wierden";278,6
"Normale weg";"2025";"Wierden";281
"Normale weg";"2024";"Wijchen";233
"Normale weg";"2025";"Wijchen";270,1
"Normale weg";"2024";"Wijdemeren";87,1
"Normale weg";"2025";"Wijdemeren";87,1
"Normale weg";"2024";"Wijk bij Duurstede";111,4
"Normale weg";"2025";"Wijk bij Duurstede";130
"Normale weg";"2024";"Winterswijk";363,6
"Normale weg";"2025";"Winterswijk";363,6
"Normale weg";"2024";"Woensdrecht";198,1
"Normale weg";"2025";"Woensdrecht";200,8
"Normale weg";"2024";"Woerden";210,7
"Normale weg";"2025";"Woerden";212
"Normale weg";"2024";"De Wolden";413,6
"Normale weg";"2025";"De Wolden";418
"Normale weg";"2024";"Wormerland";88,3
"Normale weg";"2025";"Wormerland";88,3
"Normale weg";"2024";"Woudenberg";90,7
"Normale weg";"2025";"Woudenberg";92,2
"Normale weg";"2024";"Zaanstad";436,8
"Normale weg";"2025";"Zaanstad";433,2
"Normale weg";"2024";"Zaltbommel";245,2
"Normale weg";"2025";"Zaltbommel";245,5
"Normale weg";"2024";"Zandvoort";46,5
"Normale weg";"2025";"Zandvoort";46,5
"Normale weg";"2024";"Zeewolde";257,8
"Normale weg";"2025";"Zeewolde";259,3
"Normale weg";"2024";"Zeist";198,6
"Normale weg";"2025";"Zeist";196,7
"Normale weg";"2024";"Zevenaar";316,4
"Normale weg";"2025";"Zevenaar";316,2
"Normale weg";"2024";"Zoetermeer";202,8
"Normale weg";"2025";"Zoetermeer";205
"Normale weg";"2024";"Zoeterwoude";37,7
"Normale weg";"2025";"Zoeterwoude";37,4
"Normale weg";"2024";"Zuidplas";201,1
"Normale weg";"2025";"Zuidplas";200,6
"Normale weg";"2024";"Zundert";248,6
"Normale weg";"2025";"Zundert";249,1
"Normale weg";"2024";"Zutphen";210,8
"Normale weg";"2025";"Zutphen";211,3
"Normale weg";"2024";"Zwartewaterland";184,2
"Normale weg";"2025";"Zwartewaterland";183
"Normale weg";"2024";"Zwijndrecht";146,1
"Normale weg";"2025";"Zwijndrecht";145,8
"Normale weg";"2024";"Zwolle";566,2
"Normale weg";"2025";"Zwolle";573,6
"Ventweg";"2024";"Aa en Hunze";7,1
"Ventweg";"2025";"Aa en Hunze";7,1
"Ventweg";"2024";"Aalsmeer";3,7
"Ventweg";"2025";"Aalsmeer";3,6
"Ventweg";"2024";"Aalten";6,7
"Ventweg";"2025";"Aalten";6,7
"Ventweg";"2024";"Achtkarspelen";20,7
"Ventweg";"2025";"Achtkarspelen";20,7
"Ventweg";"2024";"Alblasserdam";1,3
"Ventweg";"2025";"Alblasserdam";1,3
"Ventweg";"2024";"Albrandswaard";2,7
"Ventweg";"2025";"Albrandswaard";2,7
"Ventweg";"2024";"Alkmaar";14,4
"Ventweg";"2025";"Alkmaar";14,4
"Ventweg";"2024";"Almelo";10,9
"Ventweg";"2025";"Almelo";10,9
"Ventweg";"2024";"Almere";6,4
"Ventweg";"2025";"Almere";6,3
"Ventweg";"2024";"Alphen aan den Rijn";13,6
"Ventweg";"2025";"Alphen aan den Rijn";13,6
"Ventweg";"2024";"Alphen-Chaam";1
"Ventweg";"2025";"Alphen-Chaam";1
"Ventweg";"2024";"Altena";21,9
"Ventweg";"2025";"Altena";21,8
"Ventweg";"2024";"Ameland";0,1
"Ventweg";"2025";"Ameland";0,1
"Ventweg";"2024";"Amersfoort";19,5
"Ventweg";"2025";"Amersfoort";19,5
"Ventweg";"2024";"Amstelveen";9,1
"Ventweg";"2025";"Amstelveen";9,1
"Ventweg";"2024";"Amsterdam";58,3
"Ventweg";"2025";"Amsterdam";58,1
"Ventweg";"2024";"Apeldoorn";24,2
"Ventweg";"2025";"Apeldoorn";24,2
"Ventweg";"2024";"Arnhem";15,2
"Ventweg";"2025";"Arnhem";15,2
"Ventweg";"2024";"Assen";7
"Ventweg";"2025";"Assen";7
"Ventweg";"2024";"Asten";6,1
"Ventweg";"2025";"Asten";6,1
"Ventweg";"2024";"Baarle-Nassau";0,5
"Ventweg";"2025";"Baarle-Nassau";0,5
"Ventweg";"2024";"Baarn";3,9
"Ventweg";"2025";"Baarn";3,9
"Ventweg";"2024";"Barendrecht";7,2
"Ventweg";"2025";"Barendrecht";7,2
"Ventweg";"2024";"Barneveld";9
"Ventweg";"2025";"Barneveld";9,2
"Ventweg";"2024";"Beek (L.)";0,1
"Ventweg";"2025";"Beek (L.)";0,1
"Ventweg";"2024";"Beekdaelen";4,2
"Ventweg";"2025";"Beekdaelen";3,8
"Ventweg";"2024";"Beesel";0
"Ventweg";"2025";"Beesel";0
"Ventweg";"2024";"Berg en Dal";0,5
"Ventweg";"2025";"Berg en Dal";0,5
"Ventweg";"2024";"Bergeijk";0,4
"Ventweg";"2025";"Bergeijk";0,4
"Ventweg";"2024";"Bergen (L.)";0,6
"Ventweg";"2025";"Bergen (L.)";0,6
"Ventweg";"2024";"Bergen (NH.)";12,3
"Ventweg";"2025";"Bergen (NH.)";11,7
"Ventweg";"2024";"Bergen op Zoom";12,2
"Ventweg";"2025";"Bergen op Zoom";12,2
"Ventweg";"2024";"Berkelland";22,8
"Ventweg";"2025";"Berkelland";22,8
"Ventweg";"2024";"Bernheze";6
"Ventweg";"2025";"Bernheze";6
"Ventweg";"2024";"Best";2,5
"Ventweg";"2025";"Best";2,5
"Ventweg";"2024";"Beuningen";1,8
"Ventweg";"2025";"Beuningen";1,8
"Ventweg";"2024";"Beverwijk";6,3
"Ventweg";"2025";"Beverwijk";6,3
"Ventweg";"2024";"De Bilt";6,1
"Ventweg";"2025";"De Bilt";6
"Ventweg";"2024";"Bladel";1
"Ventweg";"2025";"Bladel";1
"Ventweg";"2024";"Blaricum";3,3
"Ventweg";"2025";"Blaricum";3,3
"Ventweg";"2024";"Bloemendaal";2,1
"Ventweg";"2025";"Bloemendaal";2,1
"Ventweg";"2024";"Bodegraven-Reeuwijk";2,6
"Ventweg";"2025";"Bodegraven-Reeuwijk";2,6
"Ventweg";"2024";"Boekel";0,8
"Ventweg";"2025";"Boekel";0,8
"Ventweg";"2024";"Borger-Odoorn";5,2
"Ventweg";"2025";"Borger-Odoorn";5,2
"Ventweg";"2024";"Borne";5,3
"Ventweg";"2025";"Borne";5,3
"Ventweg";"2024";"Borsele";6
"Ventweg";"2025";"Borsele";6,1
"Ventweg";"2024";"Boxtel";2,8
"Ventweg";"2025";"Boxtel";2,8
"Ventweg";"2024";"Breda";17,1
"Ventweg";"2025";"Breda";17,1
"Ventweg";"2024";"Brielle";
"Ventweg";"2025";"Brielle";
"Ventweg";"2024";"Bronckhorst";11
"Ventweg";"2025";"Bronckhorst";11
"Ventweg";"2024";"Brummen";0,5
"Ventweg";"2025";"Brummen";0,5
"Ventweg";"2024";"Brunssum";3,9
"Ventweg";"2025";"Brunssum";3,9
"Ventweg";"2024";"Bunnik";5,8
"Ventweg";"2025";"Bunnik";6
"Ventweg";"2024";"Bunschoten";3,5
"Ventweg";"2025";"Bunschoten";3,5
"Ventweg";"2024";"Buren";9,6
"Ventweg";"2025";"Buren";9,1
"Ventweg";"2024";"Capelle aan den IJssel";3,4
"Ventweg";"2025";"Capelle aan den IJssel";3,4
"Ventweg";"2024";"Castricum";2,9
"Ventweg";"2025";"Castricum";2,9
"Ventweg";"2024";"Coevorden";4,3
"Ventweg";"2025";"Coevorden";4,3
"Ventweg";"2024";"Cranendonck";5,9
"Ventweg";"2025";"Cranendonck";5,9
"Ventweg";"2024";"Culemborg";4,7
"Ventweg";"2025";"Culemborg";4,7
"Ventweg";"2024";"Dalfsen";24,1
"Ventweg";"2025";"Dalfsen";24,1
"Ventweg";"2024";"Dantumadiel";3,5
"Ventweg";"2025";"Dantumadiel";3,4
"Ventweg";"2024";"Delft";2
"Ventweg";"2025";"Delft";1,7
"Ventweg";"2024";"Deurne";5,4
"Ventweg";"2025";"Deurne";5,4
"Ventweg";"2024";"Deventer";10,9
"Ventweg";"2025";"Deventer";10,9
"Ventweg";"2024";"Diemen";0,1
"Ventweg";"2025";"Diemen";0,1
"Ventweg";"2024";"Dijk en Waard";3,1
"Ventweg";"2025";"Dijk en Waard";3,1
"Ventweg";"2024";"Dinkelland";6,1
"Ventweg";"2025";"Dinkelland";6,1
"Ventweg";"2024";"Doesburg";1,3
"Ventweg";"2025";"Doesburg";1,3
"Ventweg";"2024";"Doetinchem";5,1
"Ventweg";"2025";"Doetinchem";5,1
"Ventweg";"2024";"Dongen";6,7
"Ventweg";"2025";"Dongen";6,6
"Ventweg";"2024";"Dordrecht";6,8
"Ventweg";"2025";"Dordrecht";6,8
"Ventweg";"2024";"Drechterland";0,8
"Ventweg";"2025";"Drechterland";0,8
"Ventweg";"2024";"Drimmelen";6,5
"Ventweg";"2025";"Drimmelen";6,5
"Ventweg";"2024";"Dronten";16,8
"Ventweg";"2025";"Dronten";16,8
"Ventweg";"2024";"Druten";0,3
"Ventweg";"2025";"Druten";0,3
"Ventweg";"2024";"Duiven";1,7
"Ventweg";"2025";"Duiven";1,7
"Ventweg";"2024";"Echt-Susteren";3,1
"Ventweg";"2025";"Echt-Susteren";3,1
"Ventweg";"2024";"Edam-Volendam";6,1
"Ventweg";"2025";"Edam-Volendam";6,1
"Ventweg";"2024";"Ede";10,5
"Ventweg";"2025";"Ede";10
"Ventweg";"2024";"Eemnes";1,3
"Ventweg";"2025";"Eemnes";1,3
"Ventweg";"2024";"Eemsdelta";13,6
"Ventweg";"2025";"Eemsdelta";13,6
"Ventweg";"2024";"Eersel";1,7
"Ventweg";"2025";"Eersel";1,7
"Ventweg";"2024";"Eijsden-Margraten";0,2
"Ventweg";"2025";"Eijsden-Margraten";0,2
"Ventweg";"2024";"Eindhoven";26,4
"Ventweg";"2025";"Eindhoven";26,4
"Ventweg";"2024";"Elburg";2,5
"Ventweg";"2025";"Elburg";2,5
"Ventweg";"2024";"Emmen";16,5
"Ventweg";"2025";"Emmen";16,4
"Ventweg";"2024";"Enkhuizen";0,1
"Ventweg";"2025";"Enkhuizen";0,1
"Ventweg";"2024";"Enschede";16,4
"Ventweg";"2025";"Enschede";16,4
"Ventweg";"2024";"Epe";2,2
"Ventweg";"2025";"Epe";2,2
"Ventweg";"2024";"Ermelo";1,8
"Ventweg";"2025";"Ermelo";1,8
"Ventweg";"2024";"Etten-Leur";3,8
"Ventweg";"2025";"Etten-Leur";3,8
"Ventweg";"2024";"De Fryske Marren";21
"Ventweg";"2025";"De Fryske Marren";21
"Ventweg";"2024";"Geertruidenberg";2,5
"Ventweg";"2025";"Geertruidenberg";2,5
"Ventweg";"2024";"Geldrop-Mierlo";6,7
"Ventweg";"2025";"Geldrop-Mierlo";6,7
"Ventweg";"2024";"Gemert-Bakel";19,9
"Ventweg";"2025";"Gemert-Bakel";19,9
"Ventweg";"2024";"Gennep";2,1
"Ventweg";"2025";"Gennep";1,5
"Ventweg";"2024";"Gilze en Rijen";1,8
"Ventweg";"2025";"Gilze en Rijen";1,7
"Ventweg";"2024";"Goeree-Overflakkee";44,3
"Ventweg";"2025";"Goeree-Overflakkee";43,9
"Ventweg";"2024";"Goes";12,9
"Ventweg";"2025";"Goes";13,9
"Ventweg";"2024";"Goirle";4,2
"Ventweg";"2025";"Goirle";4,2
"Ventweg";"2024";"Gooise Meren";6,2
"Ventweg";"2025";"Gooise Meren";6,2
"Ventweg";"2024";"Gorinchem";0,4
"Ventweg";"2025";"Gorinchem";0,6
"Ventweg";"2024";"Gouda";1,3
"Ventweg";"2025";"Gouda";1,3
"Ventweg";"2024";"'s-Gravenhage (gemeente)";14,4
"Ventweg";"2025";"'s-Gravenhage (gemeente)";14,4
"Ventweg";"2024";"Groningen (gemeente)";19,7
"Ventweg";"2025";"Groningen (gemeente)";19,7
"Ventweg";"2024";"Gulpen-Wittem";0
"Ventweg";"2025";"Gulpen-Wittem";0
"Ventweg";"2024";"Haaksbergen";8,4
"Ventweg";"2025";"Haaksbergen";8,4
"Ventweg";"2024";"Haarlem";15,7
"Ventweg";"2025";"Haarlem";15,7
"Ventweg";"2024";"Haarlemmermeer";12,4
"Ventweg";"2025";"Haarlemmermeer";12,2
"Ventweg";"2024";"Halderberge";16,9
"Ventweg";"2025";"Halderberge";16,9
"Ventweg";"2024";"Hardenberg";38,1
"Ventweg";"2025";"Hardenberg";38,1
"Ventweg";"2024";"Harderwijk";1,8
"Ventweg";"2025";"Harderwijk";1,8
"Ventweg";"2024";"Hardinxveld-Giessendam";1,7
"Ventweg";"2025";"Hardinxveld-Giessendam";1,7
"Ventweg";"2024";"Harlingen";1,8
"Ventweg";"2025";"Harlingen";1,8
"Ventweg";"2024";"Hattem";0,2
"Ventweg";"2025";"Hattem";0,2
"Ventweg";"2024";"Heemskerk";4,2
"Ventweg";"2025";"Heemskerk";4,2
"Ventweg";"2024";"Heemstede";2,1
"Ventweg";"2025";"Heemstede";2,1
"Ventweg";"2024";"Heerde";0,6
"Ventweg";"2025";"Heerde";0,6
"Ventweg";"2024";"Heerenveen";9,6
"Ventweg";"2025";"Heerenveen";9,6
"Ventweg";"2024";"Heerlen";4,2
"Ventweg";"2025";"Heerlen";4,2
"Ventweg";"2024";"Heeze-Leende";5,8
"Ventweg";"2025";"Heeze-Leende";5,8
"Ventweg";"2024";"Heiloo";6,2
"Ventweg";"2025";"Heiloo";6,2
"Ventweg";"2024";"Den Helder";7,4
"Ventweg";"2025";"Den Helder";7,4
"Ventweg";"2024";"Hellendoorn";13,5
"Ventweg";"2025";"Hellendoorn";13,5
"Ventweg";"2024";"Hellevoetsluis";
"Ventweg";"2025";"Hellevoetsluis";
"Ventweg";"2024";"Helmond";12,9
"Ventweg";"2025";"Helmond";12,9
"Ventweg";"2024";"Hendrik-Ido-Ambacht";1,8
"Ventweg";"2025";"Hendrik-Ido-Ambacht";1,8
"Ventweg";"2024";"Hengelo (O.)";6,3
"Ventweg";"2025";"Hengelo (O.)";6,3
"Ventweg";"2024";"'s-Hertogenbosch";25,8
"Ventweg";"2025";"'s-Hertogenbosch";25,8
"Ventweg";"2024";"Heumen";1,8
"Ventweg";"2025";"Heumen";1,8
"Ventweg";"2024";"Heusden";1,6
"Ventweg";"2025";"Heusden";1,6
"Ventweg";"2024";"Hillegom";1,1
"Ventweg";"2025";"Hillegom";1,1
"Ventweg";"2024";"Hilvarenbeek";1,1
"Ventweg";"2025";"Hilvarenbeek";1,1
"Ventweg";"2024";"Hilversum";8,3
"Ventweg";"2025";"Hilversum";8,3
"Ventweg";"2024";"Hoeksche Waard";27,8
"Ventweg";"2025";"Hoeksche Waard";28,1
"Ventweg";"2024";"Hof van Twente";27,2
"Ventweg";"2025";"Hof van Twente";27,2
"Ventweg";"2024";"Het Hogeland";24,5
"Ventweg";"2025";"Het Hogeland";24,2
"Ventweg";"2024";"Hollands Kroon";27,6
"Ventweg";"2025";"Hollands Kroon";27,6
"Ventweg";"2024";"Hoogeveen";2,3
"Ventweg";"2025";"Hoogeveen";2,3
"Ventweg";"2024";"Hoorn";3,8
"Ventweg";"2025";"Hoorn";3,8
"Ventweg";"2024";"Horst aan de Maas";2,1
"Ventweg";"2025";"Horst aan de Maas";2,1
"Ventweg";"2024";"Houten";5,4
"Ventweg";"2025";"Houten";5,4
"Ventweg";"2024";"Huizen";9,4
"Ventweg";"2025";"Huizen";9,4
"Ventweg";"2024";"Hulst";13,3
"Ventweg";"2025";"Hulst";13,3
"Ventweg";"2024";"IJsselstein";2,6
"Ventweg";"2025";"IJsselstein";2,6
"Ventweg";"2024";"Kaag en Braassem";7,6
"Ventweg";"2025";"Kaag en Braassem";7,5
"Ventweg";"2024";"Kampen";8,9
"Ventweg";"2025";"Kampen";8
"Ventweg";"2024";"Kapelle";0,1
"Ventweg";"2025";"Kapelle";0,1
"Ventweg";"2024";"Katwijk";4,5
"Ventweg";"2025";"Katwijk";4,4
"Ventweg";"2024";"Kerkrade";3,8
"Ventweg";"2025";"Kerkrade";3,8
"Ventweg";"2024";"Koggenland";5,7
"Ventweg";"2025";"Koggenland";5,6
"Ventweg";"2024";"Krimpen aan den IJssel";1,1
"Ventweg";"2025";"Krimpen aan den IJssel";1,1
"Ventweg";"2024";"Krimpenerwaard";26,8
"Ventweg";"2025";"Krimpenerwaard";26,8
"Ventweg";"2024";"Laarbeek";3,1
"Ventweg";"2025";"Laarbeek";3,1
"Ventweg";"2024";"Land van Cuijk";27,1
"Ventweg";"2025";"Land van Cuijk";27,3
"Ventweg";"2024";"Landgraaf";5,1
"Ventweg";"2025";"Landgraaf";5,1
"Ventweg";"2024";"Landsmeer";0
"Ventweg";"2025";"Landsmeer";0
"Ventweg";"2024";"Lansingerland";5,7
"Ventweg";"2025";"Lansingerland";5,5
"Ventweg";"2024";"Laren (NH.)";4,5
"Ventweg";"2025";"Laren (NH.)";4,5
"Ventweg";"2024";"Leeuwarden";37,6
"Ventweg";"2025";"Leeuwarden";37,5
"Ventweg";"2024";"Leiden";4,7
"Ventweg";"2025";"Leiden";4,7
"Ventweg";"2024";"Leiderdorp";3,9
"Ventweg";"2025";"Leiderdorp";3,9
"Ventweg";"2024";"Leidschendam-Voorburg";5,7
"Ventweg";"2025";"Leidschendam-Voorburg";5,7
"Ventweg";"2024";"Lelystad";10,9
"Ventweg";"2025";"Lelystad";9,2
"Ventweg";"2024";"Leudal";4
"Ventweg";"2025";"Leudal";4
"Ventweg";"2024";"Leusden";2,6
"Ventweg";"2025";"Leusden";2,6
"Ventweg";"2024";"Lingewaard";3
"Ventweg";"2025";"Lingewaard";2,9
"Ventweg";"2024";"Lisse";0,4
"Ventweg";"2025";"Lisse";0,4
"Ventweg";"2024";"Lochem";10,7
"Ventweg";"2025";"Lochem";10,7
"Ventweg";"2024";"Loon op Zand";2,1
"Ventweg";"2025";"Loon op Zand";2,2
"Ventweg";"2024";"Lopik";16,9
"Ventweg";"2025";"Lopik";16,9
"Ventweg";"2024";"Losser";8,7
"Ventweg";"2025";"Losser";8,7
"Ventweg";"2024";"Maasdriel";0,8
"Ventweg";"2025";"Maasdriel";0,6
"Ventweg";"2024";"Maasgouw";6,1
"Ventweg";"2025";"Maasgouw";6,1
"Ventweg";"2024";"Maashorst";20,7
"Ventweg";"2025";"Maashorst";21,2
"Ventweg";"2024";"Maassluis";0,4
"Ventweg";"2025";"Maassluis";0,7
"Ventweg";"2024";"Maastricht";15,9
"Ventweg";"2025";"Maastricht";15,9
"Ventweg";"2024";"Medemblik";11,9
"Ventweg";"2025";"Medemblik";11,9
"Ventweg";"2024";"Meerssen";0,2
"Ventweg";"2025";"Meerssen";0,2
"Ventweg";"2024";"Meierijstad";18,4
"Ventweg";"2025";"Meierijstad";18,4
"Ventweg";"2024";"Meppel";9,4
"Ventweg";"2025";"Meppel";9,4
"Ventweg";"2024";"Middelburg (Z.)";5,7
"Ventweg";"2025";"Middelburg (Z.)";5,5
"Ventweg";"2024";"Midden-Delfland";1,1
"Ventweg";"2025";"Midden-Delfland";1,1
"Ventweg";"2024";"Midden-Drenthe";7
"Ventweg";"2025";"Midden-Drenthe";7
"Ventweg";"2024";"Midden-Groningen";19,7
"Ventweg";"2025";"Midden-Groningen";19,8
"Ventweg";"2024";"Moerdijk";26,9
"Ventweg";"2025";"Moerdijk";26,7
"Ventweg";"2024";"Molenlanden";3,5
"Ventweg";"2025";"Molenlanden";6,4
"Ventweg";"2024";"Montferland";5,4
"Ventweg";"2025";"Montferland";5,4
"Ventweg";"2024";"Montfoort";4,3
"Ventweg";"2025";"Montfoort";4,3
"Ventweg";"2024";"Mook en Middelaar";0,2
"Ventweg";"2025";"Mook en Middelaar";0,2
"Ventweg";"2024";"Neder-Betuwe";3,5
"Ventweg";"2025";"Neder-Betuwe";3,5
"Ventweg";"2024";"Nederweert";1,6
"Ventweg";"2025";"Nederweert";1,6
"Ventweg";"2024";"Nieuwegein";4
"Ventweg";"2025";"Nieuwegein";4,6
"Ventweg";"2024";"Nieuwkoop";6,4
"Ventweg";"2025";"Nieuwkoop";6,4
"Ventweg";"2024";"Nijkerk";0,7
"Ventweg";"2025";"Nijkerk";0,7
"Ventweg";"2024";"Nijmegen";16,5
"Ventweg";"2025";"Nijmegen";16,5
"Ventweg";"2024";"Nissewaard";5,3
"Ventweg";"2025";"Nissewaard";5,4
"Ventweg";"2024";"Noardeast-Fryslân";31,9
"Ventweg";"2025";"Noardeast-Fryslân";31,9
"Ventweg";"2024";"Noord-Beveland";8,7
"Ventweg";"2025";"Noord-Beveland";7,5
"Ventweg";"2024";"Noordenveld";4,2
"Ventweg";"2025";"Noordenveld";4,2
"Ventweg";"2024";"Noordoostpolder";7,5
"Ventweg";"2025";"Noordoostpolder";7,5
"Ventweg";"2024";"Noordwijk";5,7
"Ventweg";"2025";"Noordwijk";5,7
"Ventweg";"2024";"Nuenen, Gerwen en Nederwetten";2,4
"Ventweg";"2025";"Nuenen, Gerwen en Nederwetten";2,4
"Ventweg";"2024";"Nunspeet";4,5
"Ventweg";"2025";"Nunspeet";4,5
"Ventweg";"2024";"Oegstgeest";1,5
"Ventweg";"2025";"Oegstgeest";1,5
"Ventweg";"2024";"Oirschot";0,7
"Ventweg";"2025";"Oirschot";0,7
"Ventweg";"2024";"Oisterwijk";3,4
"Ventweg";"2025";"Oisterwijk";3,4
"Ventweg";"2024";"Oldambt";11,6
"Ventweg";"2025";"Oldambt";11,6
"Ventweg";"2024";"Oldebroek";0,4
"Ventweg";"2025";"Oldebroek";0,4
"Ventweg";"2024";"Oldenzaal";6,7
"Ventweg";"2025";"Oldenzaal";6,7
"Ventweg";"2024";"Olst-Wijhe";8,8
"Ventweg";"2025";"Olst-Wijhe";8,9
"Ventweg";"2024";"Ommen";14,1
"Ventweg";"2025";"Ommen";14,1
"Ventweg";"2024";"Oost Gelre";6,6
"Ventweg";"2025";"Oost Gelre";6,6
"Ventweg";"2024";"Oosterhout";3,2
"Ventweg";"2025";"Oosterhout";3,2
"Ventweg";"2024";"Ooststellingwerf";11,8
