Model,Feature Set,Balanced Accuracy,F1-Score,AUC-ROC,Threshold
LSTM,T,0.7052339122736758,0.7565918500762694,0.7846353782433657,0.48222607374191284
GRU,T,0.64860648567755,0.727872911079018,0.7115828467845626,0.48688805103302
LSTM,T+O+W,0.7830567733912274,0.7984699976093713,0.8577276942857746,0.5671138167381287
GRU,T+O+W,0.7923903420947243,0.7995079950799509,0.8594023354340998,0.605889081954956
LSTM,T+O+W+S,0.8021478405665746,0.7974326059050064,0.857674209050861,0.6526678800582886
GRU,T+O+W+S,0.7974906730181481,0.8026739291903937,0.8632080865459605,0.541124165058136
