Model,Feature Set,Balanced Accuracy,F1-Score,AUC-ROC,Threshold,tau
GAT-only,T,0.8017035425504653,0.4656643640796424,0.8599665883251066,0.5794611573219299,0.0031
GAT-LSTM,T,0.8253513328513732,0.5351985559566786,0.8905447658752351,0.4125043749809265,0.0031
GAT-GRU,T,0.8266609645734466,0.5554484088717454,0.8804896339293353,0.4990486204624176,0.0031
GAT-only,T+O+W,0.7775462115164609,0.47252231094410524,0.833146854303029,0.6725119948387146,0.0031
GAT-LSTM,T+O+W,0.8424946585502258,0.5630525825965566,0.8818361566858335,0.4000769853591919,0.0031
GAT-GRU,T+O+W,0.8328149471311176,0.5845835488877392,0.8949532444889754,0.6645880937576294,0.0031
GAT-only,T+O+W+S,0.7571056417783953,0.49911920140927774,0.858567726032892,0.7087751626968384,0.0031
GAT-LSTM,T+O+W+S,0.7738145577601996,0.5525997581620314,0.8726871801485313,0.7689892053604126,0.0031
GAT-GRU,T+O+W+S,0.7919511513102828,0.5245245245245245,0.8716892621669112,0.5083374381065369,0.0031
