"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)"
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";;;;;;;;;;;;;
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";;;;;;;;;;;;;
"Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";;;;;;;;;;;;;
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";;;;;;;;;;;;;
"Wijk 14 Gasselte";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";;;;;;;;;;;;;
"Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";;;;;;;;;;;;;
"Kostvlies";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";;;;;;;;;;;;;
"Verspreide huizen Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";;;;;;;;;;;;;
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";;;;;;;;;;;;;
"Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";;;;;;;;;;;;;
"Gasselterboerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";;;;;;;;;;;;;
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";;;;;;;;;;;;;
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";;;;;;;;;;;;;
"Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";;;;;;;;;;;;;
"Gasselterboerveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";;;;;;;;;;;;;
"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";;;;;;;;;;;;;
"Wijk 17 Gieten";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";;;;;;;;;;;;;
"Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";;;;;;;;;;;;;
"Verspreide huizen Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";;;;;;;;;;;;;
"Wijk 18 Gieterveen";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";;;;;;;;;;;;;
"Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";;;;;;;;;;;;;
"Bonnerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";;;;;;;;;;;;;
