"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Glanerveld";"Enschede                                ";"Buurt     ";"BU01530800";"1";1,2;0,1;3;9,1;0,9;2;13,2;28,2;1,3;2;6;10,9
"Bentveld-Bultserve";"Enschede                                ";"Buurt     ";"BU01530801";"1";0,9;1,2;3,5;10,3;0,6;7;14;30,4;1;2;6;10,7
"Schipholt-Glanermaten";"Enschede                                ";"Buurt     ";"BU01530802";"1";0,6;1,6;3;5,7;0,5;6,2;13;18,4;1;2;6;9,8
"Eekmaat";"Enschede                                ";"Buurt     ";"BU01530803";"1";0,4;2;3,3;10,7;0,3;10,5;13,6;30,8;0,7;2;6;11
"Oikos";"Enschede                                ";"Buurt     ";"BU01530804";"1";1,2;0,2;3;5,8;0,9;0,7;13;18,8;1,6;2;6;10,1
"Eilermarke";"Enschede                                ";"Buurt     ";"BU01530805";"1";1,2;0,2;3,3;11,2;0,9;0,5;13,7;30,5;1,5;2;6;11
"De Slank";"Enschede                                ";"Buurt     ";"BU01530806";"1";2,2;0;6,3;19,5;1,8;0;20,3;66,8;2,3;2,9;6;12
"Dolphia";"Enschede                                ";"Buurt     ";"BU01530807";"1";1;0,6;8,9;23,7;1;0,6;26,4;78,7;1,6;3,6;6;12
"Eekmaat West";"Enschede                                ";"Buurt     ";"BU01530808";"1";1,1;0,6;4,5;19,3;1,1;0,6;13,4;70,3;2;3;6;12
"Wijk 09 Landelijk gebied en kernen";"Enschede                                ";"Wijk      ";"WK015309  ";"1";1,5;0,5;2,6;11,8;1,3;1,2;7,8;36,1;4,8;1,2;6,6;13,2
"Dorp Lonneker";"Enschede                                ";"Buurt     ";"BU01530900";"1";0,4;1;4,8;21,1;0,4;1,6;15,2;74,7;3,2;3;9;13
"Dorp Boekelo";"Enschede                                ";"Buurt     ";"BU01530901";"1";0,5;1;1;3;0,5;2,8;3,9;6,8;7,1;0;6,3;14
"Buurtschap Lonneker-West";"Enschede                                ";"Buurt     ";"BU01530902";"1";2,2;0,1;3,1;15,2;1,5;0,4;10,1;52,2;3,5;1,6;7,9;12,9
"Noord Esmarke";"Enschede                                ";"Buurt     ";"BU01530903";"1";2,4;0,1;3,3;16,8;1,9;0,3;10,6;56,7;3,3;2,7;6,4;12,5
"Buurtschap Zuid-Esmarke";"Enschede                                ";"Buurt     ";"BU01530904";"1";1,4;0,2;6;18,9;1,2;0,4;18,1;58;2;2,9;5,8;11,5
"Buurtschap Broekheurne";"Enschede                                ";"Buurt     ";"BU01530905";"1";2,5;0;2,2;14;2,5;0,1;4,6;32,3;3,9;1,2;4,6;12,6
"Buurtschap Usselo";"Enschede                                ";"Buurt     ";"BU01530906";"1";2,1;0;3,5;17,6;1;0,6;7;34,1;5,1;0,5;5,5;13,7
"Boekelerveld";"Enschede                                ";"Buurt     ";"BU01530907";"1";2,2;0;0,9;2;2,1;0,1;2,8;5,7;6,6;0;4,4;13,4
"Buurtschap Twekkelo";"Enschede                                ";"Buurt     ";"BU01530908";"1";3,2;0;1,1;15,3;3,1;0;1,4;29,8;5,3;0,2;6,7;13,5
"Epe";"Epe                                     ";"Gemeente  ";"GM0232    ";"1";1,2;1,1;4,2;5,8;1,2;2,5;8,7;12,1;1,9;1;3,2;11,3
"Wijk 00 Epe";"Epe                                     ";"Wijk      ";"WK023200  ";"1";1,1;1,2;5,4;6,9;1,2;3,7;13,7;16,9;1,6;1;2,9;12
"Epe Centrum";"Epe                                     ";"Buurt     ";"BU02320000";"1";0,5;3;6;7,3;0,4;9;15;17,2;0,7;1;3;12,2
"Hoge Weerd";"Epe                                     ";"Buurt     ";"BU02320001";"1";0,3;2,1;6;6;0,9;2,6;15;16;1,6;1;3;11,2
"Hogeland";"Epe                                     ";"Buurt     ";"BU02320002";"1";0,7;1,6;6;6,6;1,1;3,5;15;16,6;1,3;1;3;11,5
"Epe Noord";"Epe                                     ";"Buurt     ";"BU02320003";"1";1,3;0,6;5,4;6;1,9;0,5;13,3;15,3;2,3;1;2,8;10,5
"Burgerenk";"Epe                                     ";"Buurt     ";"BU02320004";"1";0,3;1;6;7;1,2;0,2;15;17;1,4;1;3;12
"Enkweg";"Epe                                     ";"Buurt     ";"BU02320005";"1";0,6;2;6;7;0,6;6,5;15,2;17;0,9;1;3;12,6
"Gildehoek";"Epe                                     ";"Buurt     ";"BU02320006";"1";0,5;2;6;8;0,3;10;15,2;17,8;0,6;1;3;12,6
"Kweekweg";"Epe                                     ";"Buurt     ";"BU02320007";"1";1,2;0,2;6;8;1,1;0,9;15;18,1;1,3;1;3;12,1
"Vegtelarij";"Epe                                     ";"Buurt     ";"BU02320008";"1";1,1;0,9;6;7,4;0,7;4,9;15,7;17,3;1,2;1;3;13
"Klaarbeek";"Epe                                     ";"Buurt     ";"BU02320009";"1";1,6;0,4;5,4;7;1,1;1,9;15,9;17;1,7;1;3;13
"Buitengebied Epe Noord";"Epe                                     ";"Buurt     ";"BU02320010";"1";2,6;0;3;7,2;3,1;0;7,1;17,3;3,3;1,3;2,3;9,7
"Buitengebied Epe West";"Epe                                     ";"Buurt     ";"BU02320011";"1";2,1;0,1;3,2;6,5;2,7;0;8,3;16;2,9;1;2,8;11,5
"Buitengebied Epe Oost";"Epe                                     ";"Buurt     ";"BU02320012";"1";2,4;0,1;2,8;7;2,3;0,2;7,5;17,4;3,2;1,2;2,9;12,3
"Wijk 01 Emst";"Epe                                     ";"Wijk      ";"WK023201  ";"1";1,7;0,4;1,4;7,6;1,6;0,7;2,8;16,2;3,9;1,5;2,2;12,3
"Kern Emst";"Epe                                     ";"Buurt     ";"BU02320100";"1";0,5;0,9;1,5;9,8;0,4;1,5;2,4;21;3,6;2;2,1;12,7
"Buitengebied Emst";"Epe                                     ";"Buurt     ";"BU02320101";"1";2,7;0,1;1,3;5,9;2,5;0,1;3;12,4;4,2;1,1;2,3;11,9
"Wijk 02 Vaassen";"Epe                                     ";"Wijk      ";"WK023202  ";"1";1,2;1,1;3,8;4,4;1,2;1,7;4,8;5,7;1,3;1;3,8;10,1
"Vaassen Centrum";"Epe                                     ";"Buurt     ";"BU02320200";"1";0,3;3,3;4;5;0,2;5;5;6;0,4;1;4;10
"Heggerenk";"Epe                                     ";"Buurt     ";"BU02320201";"1";0,8;1,6;4;5;0,6;3,4;5;6,9;1,1;1;3,3;10
"Krugerstraat Noord";"Epe                                     ";"Buurt     ";"BU02320202";"1";0,7;2,6;4;5;0,7;3,8;5;6;0,7;1;4;10
"Krugerstraat Zuid";"Epe                                     ";"Buurt     ";"BU02320203";"1";1;1,1;4;4,3;1,1;0,9;5;5,3;1;1;4;10
"Oosterhof";"Epe                                     ";"Buurt     ";"BU02320204";"1";1;1,2;4;4,5;0,8;2,1;5;5,5;1,1;1;4;10
"Berkenoord 1";"Epe                                     ";"Buurt     ";"BU02320205";"1";1,7;0;3,8;4;1,8;0;5;5;1,7;1;4;10
"Berkenoord 2";"Epe                                     ";"Buurt     ";"BU02320206";"1";1,8;0;3,7;4;1,9;0;5;5;1,8;1;4;10
"Woestijnweg";"Epe                                     ";"Buurt     ";"BU02320207";"1";1,2;0,4;4;4,1;1,3;0,3;5;5,2;1,2;1;4;10
"Vogelbuurt";"Epe                                     ";"Buurt     ";"BU02320208";"1";1,2;0,1;4;4;1,3;0;5;5,9;1,2;1;4,1;10
"Vulcanus - de Pirk";"Epe                                     ";"Buurt     ";"BU02320209";"1";0,7;2,4;4;4,6;0,7;3,1;5;5,7;0,7;1;4;10
"Eekterveld";"Epe                                     ";"Buurt     ";"BU02320210";"1";;;;;;;;;;;;
"Buitengebied Vaassen";"Epe                                     ";"Buurt     ";"BU02320211";"1";2,4;0,1;2,8;4;2,5;0,1;3,6;5,3;2,9;0,9;3,1;10,4
"Wijk 03 Oene";"Epe                                     ";"Wijk      ";"WK023203  ";"1";1;0,6;1;2,9;0,9;0,6;1,9;7,2;5,1;0,3;2,7;12,3
"Kern Oene";"Epe                                     ";"Buurt     ";"BU02320300";"1";0,3;1;1;1,6;0,3;1;2;3,8;5,3;0,1;2,8;12,5
"Buitengebied Oene";"Epe                                     ";"Buurt     ";"BU02320301";"1";1,5;0,2;1;3,9;1,3;0,3;1,8;9,9;5;0,5;2,6;12,1
"Ermelo";"Ermelo                                  ";"Gemeente  ";"GM0233    ";"1";1,1;1,3;6,2;11,8;0,8;4,6;20,6;36;1,9;1,9;3,9;8,8
"Schil rondom het centrum";"Ermelo                                  ";"Wijk      ";"WK023300  ";"1";0,8;1,2;6,8;12;0,7;4,2;23;36,6;1,5;1,9;4;8,9
"Ermelo - Noord";"Ermelo                                  ";"Buurt     ";"BU02330001";"1";1;1,5;6,7;12,4;1;5,4;23,3;36,7;1,5;2;4;8,1
"Ermelo - Oost";"Ermelo                                  ";"Buurt     ";"BU02330002";"1";1,2;0,4;6;10;1;1,9;21;32,4;1,7;1,6;4;8,4
"Ermelo - Zuid";"Ermelo                                  ";"Buurt     ";"BU02330003";"1";0,7;1,6;7;11,7;0,5;7,8;22,4;37;1;2;4;8,9
"Ermelo - West";"Ermelo                                  ";"Buurt     ";"BU02330004";"1";0,6;1,1;6,9;13,2;0,7;1;24,5;38,4;1,9;1,9;4;9,6
"Veldwijk";"Ermelo                                  ";"Buurt     ";"BU02330005";"1";1;1;7;11,2;1;1,1;25,4;32,1;1,4;2;4;8
"Centrum Ermelo";"Ermelo                                  ";"Wijk      ";"WK023301  ";"1";0,3;3,8;6,9;11;0,2;15,7;22,8;32,3;0,6;2,1;4;8,7
"Ermelo - Centrum";"Ermelo                                  ";"Buurt     ";"BU02330101";"1";0,3;3,8;6,9;11;0,2;15,7;22,8;32,3;0,6;2,1;4;8,7
"Tonsel en Veldzicht";"Ermelo                                  ";"Wijk      ";"WK023302  ";"1";2,3;0;4,4;17;1,5;0,2;13,2;60,5;2,9;2,8;4;8
"Tonsel";"Ermelo                                  ";"Buurt     ";"BU02330201";"1";2,5;0;3,2;17,3;1,7;0,2;10,7;60,2;3,1;2,8;4;8
"Veldzicht";"Ermelo                                  ";"Buurt     ";"BU02330202";"1";2,2;0;5,5;16,7;1,3;0,2;15,5;60,7;2,6;2,9;4;8
"Buitengebied west";"Ermelo                                  ";"Wijk      ";"WK023303  ";"1";2;0;4,8;11,5;1;0,7;12,9;34,6;3,3;2;4;8,6
"Verspreide huizen Horst";"Ermelo                                  ";"Buurt     ";"BU02330301";"1";2,1;0;6,9;11,2;0,9;0,8;18,8;31,9;3;2;4;8,5
"Verspreide huizen Zuiderzeeland";"Ermelo                                  ";"Buurt     ";"BU02330302";"1";2,1;0;2,7;10,4;1,2;0,6;6;32;3,8;1,8;4;8,4
"s Heerenloo";"Ermelo                                  ";"Buurt     ";"BU02330303";"1";1,7;0;5,5;11,9;0,8;0,6;13,8;38,4;3,1;2,4;4;8
"Verspreide huizen Telgt";"Ermelo                                  ";"Buurt     ";"BU02330304";"1";1,9;0,1;3,3;12,7;1,2;0,6;11,1;37,3;3,2;1,6;4;9,7
"Buitengebied midden";"Ermelo                                  ";"Wijk      ";"WK023304  ";"1";2,4;0;5,3;10,1;2,2;0,1;16,5;30,4;2,9;1,4;3,9;8,1
"Verspreide huizen bosgebied";"Ermelo                                  ";"Buurt     ";"BU02330401";"1";2,2;0;5,6;10,7;2;0,1;17,4;32,2;2,8;1,5;3,9;8,2
"Drie";"Ermelo                                  ";"Buurt     ";"BU02330402";"1";5,7;0;0;0;5,3;0;0;0;6,1;0;2,6;7
"Buitengebied oost";"Ermelo                                  ";"Wijk      ";"WK023305  ";"1";3,9;0;0,4;1,6;2,4;0,2;1,4;4,8;9;0;1,5;8,1
"Verspreide huizen Speuld";"Ermelo                                  ";"Buurt     ";"BU02330501";"1";4,3;0;0;1,6;2,9;0;0,7;4,7;8,5;0;2;7,9
"Verspreide huizen heidegebied";"Ermelo                                  ";"Buurt     ";"BU02330502";"1";3,9;0;0,9;1;1,8;0,1;2,4;3,2;8,7;0;2;7,9
"Verspreide huizen De Beek";"Ermelo                                  ";"Buurt     ";"BU02330503";"1";2,9;0;0,9;2,7;2,7;0;2,3;8,4;11,4;0;0;10,1
"Verspreide huizen Houtdorp";"Ermelo                                  ";"Buurt     ";"BU02330504";"1";1,2;0,3;2;2;1,1;1,1;4;4;9;0;1;8,1
"Verspreide huizen Staverden";"Ermelo                                  ";"Buurt     ";"BU02330505";"1";4,2;0;0;1,3;0,9;0,8;1;5,3;10;0;0,9;7,8
"Verspreide huizen Leuvenum";"Ermelo                                  ";"Buurt     ";"BU02330506";"1";5,3;0;0;0,4;1,9;0,1;0,9;2,1;8,7;0;1,1;7,2
"Etten-Leur";"Etten-Leur                              ";"Gemeente  ";"GM0777    ";"1";0,9;1,2;5,8;8,7;0,8;5,3;27,8;41,8;2,4;1;4,1;12,1
"Midden woongebied";"Etten-Leur                              ";"Wijk      ";"WK077700  ";"1";0,8;1;7,5;8,4;0,8;6,3;36,7;40,9;1,9;1;3,8;12,1
"Centrum Oost 1";"Etten-Leur                              ";"Buurt     ";"BU07770000";"1";0,6;1,4;8;8,7;0,2;13,3;37;42,2;1,3;1;3,9;12
"Centrum Oost 2";"Etten-Leur                              ";"Buurt     ";"BU07770001";"1";0,9;0,8;7,9;9;0,4;8,8;37;43;1,4;1;4;12
"Centrum Oost 3";"Etten-Leur                              ";"Buurt     ";"BU07770002";"1";0,7;1,5;8;8,2;0,5;5,2;37,9;40,7;1,9;1;3,8;12
"Centrum West 1";"Etten-Leur                              ";"Buurt     ";"BU07770003";"1";0,8;1;6,3;9,2;0,5;17,9;32,9;44;0,6;1;4;11,3
"Centrum West 2";"Etten-Leur                              ";"Buurt     ";"BU07770004";"1";1;0,6;6;9,1;0,8;11;31,3;43,5;0,8;1;4;11
"Het Hooghuis";"Etten-Leur                              ";"Buurt     ";"BU07770005";"1";0,7;0,9;7,7;8;1,1;0,8;37,8;39;2,6;1;3,7;12,5
"Midden Bedrijventerrein";"Etten-Leur                              ";"Wijk      ";"WK077701  ";"1";;;;;;;;;;;;
"Midden bedrijventerrein Vosdonk";"Etten-Leur                              ";"Buurt     ";"BU07770100";"1";;;;;;;;;;;;
"Midden landelijk gebied";"Etten-Leur                              ";"Wijk      ";"WK077702  ";"1";2,2;0;3,3;10,6;1,6;0,3;11,6;47,4;3,7;2;6,3;13,9
"Midden landelijk gebied";"Etten-Leur                              ";"Buurt     ";"BU07770200";"1";2,2;0;3,3;10,6;1,6;0,3;11,6;47,4;3,7;2;6,3;13,9
"Noord woongebied";"Etten-Leur                              ";"Wijk      ";"WK077710  ";"1";0,8;1,3;5,4;8,3;0,7;3,2;22,6;40,6;3,2;1;4,7;12,7
"Noord 1";"Etten-Leur                              ";"Buurt     ";"BU07771000";"1";0,4;2;4,3;8,9;0,4;5,9;14,4;42,1;3,8;1,2;5,6;13,2
"Noord 2";"Etten-Leur                              ";"Buurt     ";"BU07771001";"1";0,2;2,2;5,2;8;0,2;6,1;18,4;39;3,4;1;5;13
"Noord 3";"Etten-Leur                              ";"Buurt     ";"BU07771002";"1";0,6;2,7;5,7;8;0,6;6,5;20,6;39;3,2;1;5;13
"Noord 4";"Etten-Leur                              ";"Buurt     ";"BU07771003";"1";0,3;2;4,8;8,1;0,3;5,7;16,5;39,1;3,6;1;5;13
"Baai 1";"Etten-Leur                              ";"Buurt     ";"BU07771004";"1";0,5;3;6,3;8;0,3;7;29,4;39,4;3;1;4,3;13
"Baai 2";"Etten-Leur                              ";"Buurt     ";"BU07771005";"1";0,6;2,4;6,3;8;0,6;6;31;39,5;2,9;1;4,8;12,8
"Baai 3";"Etten-Leur                              ";"Buurt     ";"BU07771006";"1";0,3;1;7,1;8,6;0,3;1,8;37,9;42,1;2,5;1;4,4;12
"Baai 4";"Etten-Leur                              ";"Buurt     ";"BU07771007";"1";0,4;1;7;8,7;0,4;1,9;37;42,2;2,5;1;4,7;12,2
"Sander-Banken 1";"Etten-Leur                              ";"Buurt     ";"BU07771008";"1";0,9;0,6;8;9;0,9;0,6;37;43;1,8;1;4;12
"Sander-Banken 2";"Etten-Leur                              ";"Buurt     ";"BU07771009";"1";1,1;0,3;8;9;1,1;0,3;37;42,7;1,7;1;4;11,9
"Sander-Banken 3";"Etten-Leur                              ";"Buurt     ";"BU07771010";"1";1;0,6;5,7;8,3;0,9;1,1;31,8;41,2;2,7;1;4,8;12,5
"Sander-Banken 4";"Etten-Leur                              ";"Buurt     ";"BU07771011";"1";0,6;1;7,9;9;0,6;1;37;43;2;1;4,2;12
"De Grient";"Etten-Leur                              ";"Buurt     ";"BU07771012";"1";1,6;0;7,6;9;1,4;0;36,7;42,5;1,6;1;4;11,3
"De Keen";"Etten-Leur                              ";"Buurt     ";"BU07771013";"1";0,7;1,7;4,2;8;0,7;4,6;13,2;39;3,6;1;4,2;13
"Attelaken";"Etten-Leur                              ";"Buurt     ";"BU07771014";"1";1;1,1;4,2;9,8;0,7;3,3;12,4;46,1;3,9;1,8;6;13,8
"Schoenmakershoek";"Etten-Leur                              ";"Buurt     ";"BU07771015";"1";1,1;0,9;3,6;8;1;2,4;9,1;39,8;4,5;1,1;5,4;13,3
"Noord bedrijventerrein";"Etten-Leur                              ";"Wijk      ";"WK077711  ";"1";1,8;0;5,9;10,1;1,5;0;32,9;46,5;1,6;1;4;11
"Bedrijventerrein Vossendaal";"Etten-Leur                              ";"Buurt     ";"BU07771100";"1";1,8;0;5,9;10,1;1,5;0;32,9;46,5;1,6;1;4;11
"Noord landelijk gebied";"Etten-Leur                              ";"Wijk      ";"WK077712  ";"1";2,3;0;2,5;8,5;2;0,1;10,2;39,2;3,5;1;3,9;11,7
"Noord landelijk gebied 1";"Etten-Leur                              ";"Buurt     ";"BU07771200";"1";2,1;0;2,8;9,4;1,8;0;15;43,6;3;1;3,3;11
"Noord landelijk gebied 2";"Etten-Leur                              ";"Buurt     ";"BU07771201";"1";2,9;0;1,7;7,9;2,7;0;6,1;37,1;3,8;0,9;3,2;11,1
"Noord landelijk gebied 3";"Etten-Leur                              ";"Buurt     ";"BU07771202";"1";1,8;0;3,7;8,1;1,7;0;11,7;38,7;3,5;1;3,9;12,3
"Noord landelijk gebied 4";"Etten-Leur                              ";"Buurt     ";"BU07771203";"1";2,3;0;2,3;7,9;1,5;0,6;5,8;34,1;4,3;1,4;5,8;13,3
"Zuid woongebied";"Etten-Leur                              ";"Wijk      ";"WK077720  ";"1";0,7;1,6;5,7;9,4;0,7;8,8;31,7;44,9;1,3;1;3,4;11,3
"Banakkers 1";"Etten-Leur                              ";"Buurt     ";"BU07772000";"1";0,4;3,6;6,1;8;0,3;24,1;32;39,8;0,7;1;3,4;11,2
"Banakkers 2";"Etten-Leur                              ";"Buurt     ";"BU07772001";"1";0,4;2,5;6,4;8;0,5;16,6;33,3;39,1;1,1;1;3;11,9
"Banakkers 3";"Etten-Leur                              ";"Buurt     ";"BU07772002";"1";0,6;1,3;6,3;8;0,6;4,8;33,5;39;1,4;1;3;11,7
"Banakkers 4";"Etten-Leur                              ";"Buurt     ";"BU07772003";"1";0,8;1;5,3;8;0,7;2,6;31,3;39;1,4;1;3;11,5
"Grauwe Polder 1";"Etten-Leur                              ";"Buurt     ";"BU07772004";"1";0,6;2,6;5,9;10,8;0,5;18,5;31,1;48,9;0,7;1;4;11
"Grauwe Polder 2";"Etten-Leur                              ";"Buurt     ";"BU07772005";"1";0,7;1,3;5,7;12;0,9;6,1;30,7;55,7;1;1;4;11
"Grauwe Polder 3";"Etten-Leur                              ";"Buurt     ";"BU07772006";"1";0,4;2,2;5,4;11,3;0,7;11,3;30,4;52,2;1;1;3,9;11
"Grauwe Polder 4";"Etten-Leur                              ";"Buurt     ";"BU07772007";"1";0,7;1;4,6;10,8;1,2;0,5;30;49,9;1,5;1;3,3;11
"Grauwe Polder 5";"Etten-Leur                              ";"Buurt     ";"BU07772008";"1";0,6;1,8;5,3;8,1;0,5;12,7;30,5;40,7;1,1;1;3;11
"Hoge Neerstraat";"Etten-Leur                              ";"Buurt     ";"BU07772009";"1";1,3;0,1;6,6;8;1,3;0,1;34,4;39;2,1;1;3;11,9
"Centrum Zuid";"Etten-Leur                              ";"Buurt     ";"BU07772010";"1";0,3;2,9;6,9;8,7;0,1;23,6;34,8;42,1;0,7;1;3,9;11,6
"De Streek";"Etten-Leur                              ";"Buurt     ";"BU07772011";"1";1,1;0,3;4,9;9,1;1,1;0,6;30;45;1,7;1;3;11
"Zuid bedrijventerrein West";"Etten-Leur                              ";"Wijk      ";"WK077721  ";"1";1,6;0,1;3,8;11,3;2;0,2;26,2;53,2;2,1;1;2,9;11
"Zuid bedrijventerrein Vosdonk";"Etten-Leur                              ";"Buurt     ";"BU07772100";"1";1,6;0,1;3,8;11,3;2;0,2;26,2;53,2;2,1;1;2,9;11
"Zuid bedrijventerrein Oost";"Etten-Leur                              ";"Wijk      ";"WK077722  ";"1";;;;;;;;;;;;
"Bedrijventerrein Trivium";"Etten-Leur                              ";"Buurt     ";"BU07772200";"1";;;;;;;;;;;;
"Zuid landelijk gebied";"Etten-Leur                              ";"Wijk      ";"WK077723  ";"1";3,2;0;1,1;7,3;2,3;0,1;6,1;36,3;3,9;1;3,7;12
"Zuid landelijk gebied 1";"Etten-Leur                              ";"Buurt     ";"BU07772300";"1";2,9;0;1,3;7,3;3;0;6,2;38,2;3,7;0,9;2,6;11
"Zuid landelijk gebied 2";"Etten-Leur                              ";"Buurt     ";"BU07772301";"1";3,3;0;1;6,6;2,7;0;5,8;33,3;4;0,9;3,4;11,4
"Zuid landelijk gebied 3";"Etten-Leur                              ";"Buurt     ";"BU07772302";"1";2,7;0;1,9;8,1;1,3;0,4;10,2;39,1;3,4;1;3,9;12,2
"Zuid landelijk gebied 4";"Etten-Leur                              ";"Buurt     ";"BU07772303";"1";3,9;0;0;7,6;1,9;0;1,1;35,7;4,6;1,3;5,2;13,9
"De Fryske Marren";"De Fryske Marren                        ";"Gemeente  ";"GM1940    ";"1";1,5;1,4;3,7;4,6;1,7;2,5;6,7;8,7;3,8;0,6;1,1;4,2
"Wijk 01 Akmarijp";"De Fryske Marren                        ";"Wijk      ";"WK194001  ";"1";4,1;0;0;3,9;4,5;0;0;6,7;4,8;0,6;1;4
"Akmarijp";"De Fryske Marren                        ";"Buurt     ";"BU19400101";"1";4,1;0;0;3,9;4,5;0;0;6,7;4,8;0,6;1;4
"Wijk 02 Bakhuizen";"De Fryske Marren                        ";"Wijk      ";"WK194002  ";"1";0,6;1;1;1;0,5;2;2;2;10,5;0;0;1
"Bakhuizen";"De Fryske Marren                        ";"Buurt     ";"BU19400201";"1";0,6;1;1;1;0,5;2;2;2;10,5;0;0;1
"Wijk 03 Balk";"De Fryske Marren                        ";"Wijk      ";"WK194003  ";"1";0,5;2,3;3;3,5;0,5;5,1;6;6,5;0,7;1;1;3,8
"Balk";"De Fryske Marren                        ";"Buurt     ";"BU19400301";"1";0,5;2,3;3;3,5;0,5;5,1;6;6,5;0,7;1;1;3,8
"Wijk 04 Bantega";"De Fryske Marren                        ";"Wijk      ";"WK194004  ";"1";5,3;0;0;0,8;6,6;0;0;1;7;0,1;1;4,7
"Bantega";"De Fryske Marren                        ";"Buurt     ";"BU19400401";"1";5,3;0;0;0,8;6,6;0;0;1;7;0,1;1;4,7
"Wijk 05 Boornzwaag";"De Fryske Marren                        ";"Wijk      ";"WK194005  ";"1";3,2;0,2;0,5;0,7;2,9;0,4;1,1;1,8;8,9;0;1,1;4,5
"Boornzwaag";"De Fryske Marren                        ";"Buurt     ";"BU19400501";"1";3,2;0,2;0,5;0,7;2,9;0,4;1,1;1,8;8,9;0;1,1;4,5
"Wijk 06 Broek";"De Fryske Marren                        ";"Wijk      ";"WK194006  ";"1";2,1;0;4,7;6,5;2,3;0,1;10,1;13,1;2,5;1;1,1;4,4
"Broek";"De Fryske Marren                        ";"Buurt     ";"BU19400601";"1";2,1;0;4,7;6,5;2,3;0,1;10,1;13,1;2,5;1;1,1;4,4
"Wijk 07 Delfstrahuizen";"De Fryske Marren                        ";"Wijk      ";"WK194007  ";"1";1,1;0,7;0,9;1;7,3;0;0;0;10,3;0;0,7;4
"Delfstrahuizen-Buitengebied";"De Fryske Marren                        ";"Buurt     ";"BU19400701";"1";0,4;1;1;1;7,5;0;0;0;9,8;0;0,9;4
"Delfstrahuizen-Kom";"De Fryske Marren                        ";"Buurt     ";"BU19400702";"1";2,7;0;0,6;1,1;6,8;0;0;0,1;11,7;0;0;4
"Wijk 08 Dijken";"De Fryske Marren                        ";"Wijk      ";"WK194008  ";"1";1,7;0;1;1;1,7;0,1;2;2;10,1;0;0,5;4,9
"Dijken";"De Fryske Marren                        ";"Buurt     ";"BU19400801";"1";1,7;0;1;1;1,7;0,1;2;2;10,1;0;0,5;4,9
"Wijk 09 Doniaga";"De Fryske Marren                        ";"Wijk      ";"WK194009  ";"1";2,9;0;0,7;1;2,8;0;2;3;7,4;0;1,7;4,6
"Doniaga";"De Fryske Marren                        ";"Buurt     ";"BU19400901";"1";2,9;0;0,7;1;2,8;0;2;3;7,4;0;1,7;4,6
"Wijk 10 Echten";"De Fryske Marren                        ";"Wijk      ";"WK194010  ";"1";2,2;0;0,9;1;7,5;0;0;0;7,5;0;1;5
"Echten";"De Fryske Marren                        ";"Buurt     ";"BU19401001";"1";2,2;0;0,9;1;7,5;0;0;0;7,5;0;1;5
"Wijk 11 Echtenerbrug";"De Fryske Marren                        ";"Wijk      ";"WK194011  ";"1";0,6;0,9;1;1;8;0;0;0;9,1;0;1;4,6
"Echtenerbrug-Buitengebied";"De Fryske Marren                        ";"Buurt     ";"BU19401101";"1";1,6;0,4;0,9;1;7,7;0;0;0;9,2;0;0,9;4,1
"Echtenerbrug-Kom";"De Fryske Marren                        ";"Buurt     ";"BU19401102";"1";0,5;1;1;1;8,1;0;0;0;9,1;0;1;4,6
"Wijk 12 Eesterga";"De Fryske Marren                        ";"Wijk      ";"WK194012  ";"1";2,2;0;4,2;7;2,3;0;5,9;10;2,7;1;1;4
"Eesterga";"De Fryske Marren                        ";"Buurt     ";"BU19401201";"1";2,2;0;4,2;7;2,3;0;5,9;10;2,7;1;1;4
"Wijk 13 Elahuizen";"De Fryske Marren                        ";"Wijk      ";"WK194013  ";"1";5,6;0;0;0,1;5,9;0;0;0,1;6;0;1;2,4
"Elahuizen";"De Fryske Marren                        ";"Buurt     ";"BU19401301";"1";5,6;0;0;0,1;5,9;0;0;0,1;6;0;1;2,4
