"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Roessink";"Deventer                                ";"Buurt     ";"BU01501005";"1";1;0,7;3,3;8,1;18,8;1,2;4,3;1;1;2;4,3;1;1;2;;;;;
"Het Bramelt";"Deventer                                ";"Buurt     ";"BU01501006";"1";1,5;0;2,3;8;18,2;1,7;4,4;1;1;2;4,4;1;1;2;;;;;
"Essenerveld";"Deventer                                ";"Buurt     ";"BU01501007";"1";1,3;0,1;3,3;7,2;18;1,6;4,6;1;1;2;4,6;1;1;2;;;;;
"Swormink";"Deventer                                ";"Buurt     ";"BU01501008";"1";1,7;0;3;6;17,5;2,1;5,1;0,2;1;2,6;5,1;0,2;1;2;;;;;
"Handelspark De Weteringen";"Deventer                                ";"Buurt     ";"BU01501009";"1";;;;;;;;;;;;;;;;;;;
"Bannink";"Deventer                                ";"Buurt     ";"BU01501010";"1";1,7;0,2;3,3;6,7;19,1;2,4;5,5;0,3;1;3,7;5,5;0,3;1;2;;;;;
"Diepenveen";"Deventer                                ";"Wijk      ";"WK015011  ";"1";0,9;0,7;3,1;11,4;21,9;1;5,7;0,2;1;3,9;5,7;0,2;1;1;;;;;
"Dorp Diepenveen";"Deventer                                ";"Buurt     ";"BU01501101";"1";0,8;0,7;3,2;11,6;21,8;0,9;5,6;0,2;1;3,9;5,6;0,2;1;1;;;;;
"Rande";"Deventer                                ";"Buurt     ";"BU01501102";"1";2,6;0;1,5;8,3;22,3;2,1;6,7;0;1;4;6,7;0;1;1;;;;;
"Tjoene";"Deventer                                ";"Buurt     ";"BU01501103";"1";2,5;0;1,8;7;22,7;2,7;6,1;0,2;1;2,7;6,1;0,2;1;1;;;;;
"Schalkhaar";"Deventer                                ";"Wijk      ";"WK015012  ";"1";1,2;0,5;5,5;17,1;20,1;1,9;2,1;1;1;2,6;2,1;1;1;1,6;;;;;
"Dorp Schalkhaar";"Deventer                                ";"Buurt     ";"BU01501201";"1";1;0,5;5,9;18,2;19,8;1,7;1,8;1;1;2,7;1,8;1;1;1,7;;;;;
"Averlo en Frieswijk";"Deventer                                ";"Buurt     ";"BU01501202";"1";3,5;0;0,4;4,3;23,1;4;5,2;0,5;1;2;5,2;0,5;1;1;;;;;
"Okkenbroek";"Deventer                                ";"Wijk      ";"WK015013  ";"1";6,1;0;0;0;23,5;6,6;11;0;0;4;11;0;0;1;;;;;
"Okkenbroek";"Deventer                                ";"Buurt     ";"BU01501301";"1";6,1;0;0;0;23,5;6,6;11;0;0;4;11;0;0;1;;;;;
"Lettele";"Deventer                                ";"Wijk      ";"WK015014  ";"1";4;0;0,2;1,6;21,2;4,1;7,3;0,1;0,9;4,4;7,3;0,1;0,9;1,1;;;;;
"Dorp Lettele";"Deventer                                ";"Buurt     ";"BU01501401";"1";3,9;0;0;1;20,7;3,9;6,8;0;1;5;6,8;0;1;1;;;;;
"Oude Molen";"Deventer                                ";"Buurt     ";"BU01501402";"1";1,8;0;1;2,5;18,6;1,8;7,4;0;1;6;7,4;0;1;2;;;;;
"Buitengebied Lettele en Okkenbroek";"Deventer                                ";"Buurt     ";"BU01501403";"1";4,2;0;0,2;1,8;21,8;4,5;7,7;0,1;0,8;3,9;7,7;0,1;0,8;1,1;;;;;
"Bathmen";"Deventer                                ";"Wijk      ";"WK015015  ";"1";1,6;0,4;0,8;2,2;17,7;1,6;9;0;0,8;5,6;9,1;0;0,8;1,9;;;;;
"Dorp Bathmen";"Deventer                                ";"Buurt     ";"BU01501501";"1";1;0,5;1;2,6;17,3;1;8,4;0;1;6;8,4;0;1;2;;;;;
"Loo";"Deventer                                ";"Buurt     ";"BU01501502";"1";3,8;0;0,2;0,8;21,1;3,8;12,1;0;0;4,4;12,3;0;0;1,2;;;;;
"Dortherhoek";"Deventer                                ";"Buurt     ";"BU01501503";"1";2,5;0;0,8;1,1;15,8;2,5;9,7;0;0,7;4,8;9,7;0;0,7;2;;;;;
"Zuidloo";"Deventer                                ";"Buurt     ";"BU01501504";"1";3,9;0;0,1;0,9;18;3,9;11,9;0;0;5;12;0;0;1,9;;;;;
"Oxerhof";"Deventer                                ";"Buurt     ";"BU01501505";"1";3,7;0;0,2;2,3;16;3,8;8;0;1;3;8;0;1;2;;;;;
"Diemen";"Diemen                                  ";"Gemeente  ";"GM0384    ";"1";0,8;0,8;9,1;39,6;5,4;0,8;5,4;0,3;5;10,6;5,4;0,3;3,2;7,5;;;;;
"Diemen Noord";"Diemen                                  ";"Wijk      ";"WK038401  ";"1";0,8;0,6;3;13,8;6,6;0,8;6,6;0;3,7;10,3;6,6;0;2;7,9;;;;;
"Buytenstee";"Diemen                                  ";"Buurt     ";"BU03840101";"1";0,3;1;3,1;13,4;6,4;0,3;6,4;0;3,4;9;6,4;0;2;7;;;;;
"Oud Diemen";"Diemen                                  ";"Buurt     ";"BU03840102";"1";;;;;;;;;;;;;;;;;;;
"Vogelweide";"Diemen                                  ";"Buurt     ";"BU03840103";"1";0,8;0,9;3;15,1;6,4;0,8;6,4;0;4;9,5;6,4;0;2;7,3;;;;;
"Scheepskwartier";"Diemen                                  ";"Buurt     ";"BU03840104";"1";1,1;0,3;3;13,3;6,6;1,1;6,6;0;4;11,4;6,6;0;2;8,6;;;;;
"Vlindertuin";"Diemen                                  ";"Buurt     ";"BU03840105";"1";1,4;0;2,8;12,9;7;1,4;7;0;3,4;12;7;0;2;9;;;;;
"Diemerpolder";"Diemen                                  ";"Buurt     ";"BU03840106";"1";;;;;;;;;;;;;;;;;;;
"Diemen Centrum";"Diemen                                  ";"Wijk      ";"WK038402  ";"1";0,6;1,4;6,6;45,9;5;0,6;5;0,5;4,8;10,3;5;0,5;3;7,5;;;;;
"Centrum West";"Diemen                                  ";"Buurt     ";"BU03840201";"1";0,6;1,8;9,4;58,4;4,4;0,5;4,4;1;5;11;4,4;1;3,2;8;;;;;
"Ruimzicht West";"Diemen                                  ";"Buurt     ";"BU03840202";"1";0,7;1,2;6,2;46,4;4,9;0,6;4,9;0,7;4,4;10,6;4,9;0,7;3;7,6;;;;;
"Spoorzicht";"Diemen                                  ";"Buurt     ";"BU03840203";"1";0,9;1,1;4;29,2;5,7;0,9;5,7;0;3,7;9;5,7;0;2,7;7;;;;;
"Buitenlust";"Diemen                                  ";"Buurt     ";"BU03840204";"1";0,9;1,4;4;30,1;5,7;0,9;5,7;0;3,8;9;5,7;0;2,8;7;;;;;
"Spoordriehoek";"Diemen                                  ";"Buurt     ";"BU03840205";"1";;;;;;;;;;;;;;;;;;;
"Ruimzicht Oost";"Diemen                                  ";"Buurt     ";"BU03840206";"1";0,5;1,1;4,6;40,2;5,3;0,5;5,3;0,1;5;9,7;5,3;0,1;3;7;;;;;
"Centrum Oost";"Diemen                                  ";"Buurt     ";"BU03840207";"1";0,4;1,9;8,6;48,5;4,9;0,4;4,9;0,6;5;11,1;4,9;0,6;3;7,8;;;;;
"Studentenflats Rode Kruislaan";"Diemen                                  ";"Buurt     ";"BU03840208";"1";0,7;1;4;36,4;5,6;0,8;5,6;0;5;9;5,6;0;3;7;;;;;
"Diemen Zuid";"Diemen                                  ";"Wijk      ";"WK038403  ";"1";0,7;1;11,8;53,3;4,8;0,7;4,8;0,8;5,7;10,7;4,8;0,8;4;7,5;;;;;
"Akkerland";"Diemen                                  ";"Buurt     ";"BU03840301";"1";1;0,5;12,2;55,8;4,8;1,1;4,8;1;5,2;10,8;4,8;1;4;7,8;;;;;
"Bomenrijk";"Diemen                                  ";"Buurt     ";"BU03840302";"1";0,6;1;13;59,5;4,5;1;4,5;1;6;11;4,5;1;4;8;;;;;
"Beukenhorst";"Diemen                                  ";"Buurt     ";"BU03840303";"1";0,4;1,7;11,3;59,7;4,4;0,8;4,4;1;6;11;4,4;1;4;8;;;;;
"Anne Frank";"Diemen                                  ";"Buurt     ";"BU03840304";"1";0,5;1,4;11,9;49,1;4,9;0,7;4,9;0,7;6;10,6;4,9;0,7;4;7,6;;;;;
"Schelpenhoek";"Diemen                                  ";"Buurt     ";"BU03840305";"1";0,5;1,4;11,2;48,6;5;0,5;5;0,6;6;10,6;5;0,6;4;7,6;;;;;
"Kruidenhof";"Diemen                                  ";"Buurt     ";"BU03840306";"1";0,9;1;11,9;49,1;5,1;0,3;5,1;0,1;6;10,3;5,1;0,1;4;7,1;;;;;
"Polderland";"Diemen                                  ";"Buurt     ";"BU03840307";"1";1;0,6;13,9;54;4,9;0,7;4,9;0,7;5,4;10,4;4,9;0,7;4;7,2;;;;;
"Biesbosch";"Diemen                                  ";"Buurt     ";"BU03840308";"1";0,6;1;9,3;48,7;4,8;0,6;4,8;1;5;11;4,8;1;4;7;;;;;
"Bergwijkpark";"Diemen                                  ";"Wijk      ";"WK038404  ";"1";0,8;1;13;31;5,1;1;5,1;0;5;11;5,1;0;4;7;;;;;
"Bergwijkpark";"Diemen                                  ";"Buurt     ";"BU03840401";"1";0,8;1;13;31;5,1;1;5,1;0;5;11;5,1;0;4;7;;;;;
"Holland Park";"Diemen                                  ";"Wijk      ";"WK038405  ";"1";1,3;0;18,1;40,4;5,5;1;5,5;0;6;11;5,5;0;4;7;;;;;
"Campus Diemen Zuid";"Diemen                                  ";"Buurt     ";"BU03840501";"1";1,3;0;14,8;45,4;5,4;0,8;5,4;0;6;11;5,4;0;4;7;;;;;
"Holland Park";"Diemen                                  ";"Buurt     ";"BU03840502";"1";1,4;0;20,1;37,7;5,6;1,1;5,6;0;6;11;5,6;0;4;7;;;;;
"Holland Park Zuid";"Diemen                                  ";"Buurt     ";"BU03840503";"1";1,3;0;19,7;34,5;5,4;1,3;5,4;0;6;11;5,4;0;4;7;;;;;
"Holland Park West";"Diemen                                  ";"Buurt     ";"BU03840504";"1";1,5;0;15;40;5,6;1,1;5,6;0;6;10;5,6;0;4;7;;;;;
"Bedrijventerreinen";"Diemen                                  ";"Wijk      ";"WK038406  ";"1";1,5;0,1;12;33,6;5,9;1,7;5,9;0;4,7;11,1;5,9;0;2,7;7,6;;;;;
"Verrijn Stuart";"Diemen                                  ";"Buurt     ";"BU03840601";"1";1,2;0,1;14;36,5;5,7;1,4;5,7;0;5;10,2;5,7;0;3;7,2;;;;;
"De Sniep";"Diemen                                  ";"Buurt     ";"BU03840602";"1";;;;;;;;;;;;;;;;;;;
"Stammerdijk";"Diemen                                  ";"Buurt     ";"BU03840603";"1";1,8;0;9,8;30,5;6,2;1,9;6,2;0;4,4;12;6,2;0;2,4;8;;;;;
"Plantage de Sniep";"Diemen                                  ";"Wijk      ";"WK038407  ";"1";1,1;0,4;8,8;39,9;5,5;1,2;5,5;0;4,9;12;5,5;0;2,9;8;;;;;
"Plantage de Sniep Zuid";"Diemen                                  ";"Buurt     ";"BU03840701";"1";1,1;0,4;8,5;40,5;5,4;1,2;5,4;0;5;12;5,4;0;3;8;;;;;
"Plantage de Sniep Noord";"Diemen                                  ";"Buurt     ";"BU03840702";"1";1,1;0,4;8,9;39,6;5,5;1,2;5,5;0;4,9;12;5,5;0;2,9;8;;;;;
"Sportpark De Diemen";"Diemen                                  ";"Buurt     ";"BU03840703";"1";;;;;;;;;;;;;;;;;;;
"Buitengebied";"Diemen                                  ";"Wijk      ";"WK038408  ";"1";2,9;0;1,2;17,3;7,7;3;6,8;0;3,1;10,6;7,7;0;2;7,9;;;;;
"Gemeenschapspolder";"Diemen                                  ";"Buurt     ";"BU03840801";"1";3,1;0;1,4;19,4;7,5;3,2;6,5;0;3,1;10,2;7,5;0;2;7,8;;;;;
"Overdiemerpolder";"Diemen                                  ";"Buurt     ";"BU03840802";"1";2,8;0;0,9;16,9;7,7;2,8;7,7;0;3;11;7,7;0;2;8;;;;;
"Overdiemen";"Diemen                                  ";"Buurt     ";"BU03840803";"1";2,3;0;1;4,1;9,3;2,3;6,6;0;3;12;9,3;0;2;9;;;;;
"Diemer Vijfhoek";"Diemen                                  ";"Buurt     ";"BU03840804";"1";;;;;;;;;;;;;;;;;;;
"Dijk en Waard";"Dijk en Waard                           ";"Gemeente  ";"GM1980    ";"1";1;1;6,1;11,9;7;1,4;3,3;0,9;2,5;6,6;9,8;0;0,6;1,6;;;;;
"Oudkarspel";"Dijk en Waard                           ";"Wijk      ";"WK198001  ";"1";1,5;0,2;2,7;6;9,8;1,5;6,9;0;1,4;5,3;13,2;0;0;1;;;;;
"Oudkarspel Noord";"Dijk en Waard                           ";"Buurt     ";"BU19800101";"1";1,6;0;2,7;6,5;9,5;1,6;7,1;0;1,8;5;13,4;0;0;1;;;;;
"Oudkarspel Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19800102";"1";1,2;0,4;3;6;10,1;1,2;6,7;0;1,1;5,5;12,9;0;0;1;;;;;
"Laanweg en Waarddijk";"Dijk en Waard                           ";"Buurt     ";"BU19800103";"1";1,8;0;2,4;4,5;10;1,8;6,7;0;1,7;5;14;0;0;1;;;;;
"Bedrijventerrein Breekland";"Dijk en Waard                           ";"Buurt     ";"BU19800104";"1";;;;;;;;;;;;;;;;;;;
"Buitengebied Oudkarspel";"Dijk en Waard                           ";"Buurt     ";"BU19800105";"1";2,7;0;0,9;6,4;8,7;2,7;7,9;0;1,7;5,3;13;0;0;1;;;;;
"Noord-Scharwoude";"Dijk en Waard                           ";"Wijk      ";"WK198002  ";"1";0,7;1,3;3,5;5,9;9,3;0,7;5,6;0,1;1;6;12,1;0;0;1;;;;;
"Noord-Scharwoude Oost";"Dijk en Waard                           ";"Buurt     ";"BU19800201";"1";0,7;1,2;3,3;6;9,6;0,7;5,7;0;1;6;12,5;0;0;1;;;;;
"Noord-Scharwoude West";"Dijk en Waard                           ";"Buurt     ";"BU19800202";"1";0,6;1,7;4;5,6;8,9;0,6;5,3;0,1;1;6;11,7;0;0;1;;;;;
"Bedrijventerrein De Mossel";"Dijk en Waard                           ";"Buurt     ";"BU19800203";"1";0,6;1;3;6;9,5;0,6;6,2;0;1;6;12,3;0;0;1;;;;;
"Bedrijventerrein De Wuyver";"Dijk en Waard                           ";"Buurt     ";"BU19800204";"1";1;0,2;3;6;10,3;1;5,9;0;1;5,1;13,1;0;0;1;;;;;
"Buitengebied Noord-Scharwoude";"Dijk en Waard                           ";"Buurt     ";"BU19800205";"1";2,7;0;0,9;6,9;7,1;2,7;6;0;2,7;6;9,9;0;0,8;1;;;;;
"Zuid-Scharwoude";"Dijk en Waard                           ";"Wijk      ";"WK198003  ";"1";0,9;1,2;4,7;6,9;8,1;1,1;4,4;0,9;1,6;6;10,9;0;0,3;1;;;;;
"Zuid-Scharwoude Oost";"Dijk en Waard                           ";"Buurt     ";"BU19800301";"1";0,4;2;5;6;8,6;0,6;4,7;0,8;1;6;11,4;0;0;1;;;;;
"Zuid-Scharwoude West";"Dijk en Waard                           ";"Buurt     ";"BU19800302";"1";0,5;1,9;5;6,4;8,3;0,5;4,5;0,9;1,1;6;11,2;0;0;1;;;;;
"Mayersloot Noord";"Dijk en Waard                           ";"Buurt     ";"BU19800303";"1";1,5;0;4,7;8,6;7,1;1,7;3,9;1;2,6;6;9,9;0;0,7;1;;;;;
"Westerdel Noord";"Dijk en Waard                           ";"Buurt     ";"BU19800304";"1";1,4;0;4;9;6,8;2,2;3,6;1;3;6;9,6;0;1;1;;;;;
"Duizend Eilandenrijk Noord";"Dijk en Waard                           ";"Buurt     ";"BU19800305";"1";1,2;0,5;4,4;5,6;8,9;1,4;4,9;0,6;1;6;11,7;0;0;1;;;;;
"Buitengebied Zuid-Scharwoude";"Dijk en Waard                           ";"Buurt     ";"BU19800306";"1";1,4;0,4;4,3;7,3;7,1;1,5;4,9;0,4;2,4;6;9,9;0;0,6;1;;;;;
"Broek op Langedijk";"Dijk en Waard                           ";"Wijk      ";"WK198004  ";"1";1;1;4,5;12;6,7;2,3;2,9;1;3;6;9,5;0;0,8;1;;;;;
"Broek op Langedijk kern";"Dijk en Waard                           ";"Buurt     ";"BU19800401";"1";1,2;0,6;4,5;15,5;6,3;2,5;2,2;1;3,5;6;9,2;0;0,9;1;;;;;
"Westerdel Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19800402";"1";1,1;0,7;4,5;9,5;6,4;2,6;3,2;1;3,2;6;9,2;0;1;1;;;;;
"Mayersloot Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19800403";"1";0,7;1,7;4,5;10,7;6,8;2;3,2;1;2,8;6;9,6;0;0,8;1;;;;;
"Duizend Eilandenrijk Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19800404";"1";1,5;0,5;4,3;7,7;7,8;2,2;3,9;1;1,6;6;10,6;0;0,2;1;;;;;
"Oosterdel";"Dijk en Waard                           ";"Buurt     ";"BU19800405";"1";;;;;;;;;;;;;;;;;;;
"Bedrijventerrein Zuiderdel";"Dijk en Waard                           ";"Buurt     ";"BU19800406";"1";1,2;0,3;4;15,4;6,2;2,8;2,6;1;3,8;6;9,1;0;1;1;;;;;
"Buitengebied Broek op Langedijk";"Dijk en Waard                           ";"Buurt     ";"BU19800407";"1";;;;;;;;;;;;;;;;;;;
"Sint-Pancras";"Dijk en Waard                           ";"Wijk      ";"WK198005  ";"1";1,3;0,2;3,8;15,8;3,8;1,3;3,8;1;4;6;6,7;0;1;1;;;;;
"Sint-Pancras kern";"Dijk en Waard                           ";"Buurt     ";"BU19800501";"1";1,1;0,3;4;16,8;3,4;1,1;4;1;4;6;6,3;0;1;1;;;;;
"Twuyverhoek en Oostwal";"Dijk en Waard                           ";"Buurt     ";"BU19800502";"1";1,7;0;3,2;13,6;4,6;1,7;3,5;1;4;6;7,5;0;1;1;;;;;
"Buitengebied Sint-Pancras";"Dijk en Waard                           ";"Buurt     ";"BU19800503";"1";1,2;0,4;4,3;14,9;4,5;1,3;3,7;1;4;6;7,4;0;1;1;;;;;
"Koedijk";"Dijk en Waard                           ";"Wijk      ";"WK198006  ";"1";1,6;0;1;5,7;6,7;3,5;7;0;4;6;7,8;0;1;1;;;;;
"Koedijk";"Dijk en Waard                           ";"Buurt     ";"BU19800601";"1";1,6;0;1;5,7;6,7;3,4;7;0;4;6;7,8;0;1;1;;;;;
"Geestmerambacht";"Dijk en Waard                           ";"Buurt     ";"BU19800602";"1";;;;;;;;;;;;;;;;;;;
"Schrijverswijk";"Dijk en Waard                           ";"Wijk      ";"WK198010  ";"1";0,9;1,5;8,7;14,4;7;1;1,3;1;2;7;9,7;0;0,8;2;;;;;
"Schrijverswijk";"Dijk en Waard                           ";"Buurt     ";"BU19801001";"1";0,9;1,5;8,7;14,4;7;1;1,3;1;2;7;9,7;0;0,8;2;;;;;
"Schilderswijk";"Dijk en Waard                           ";"Wijk      ";"WK198011  ";"1";0,9;1;6;11,5;8,7;1;2,8;1;1;7;11,4;0;0;2;;;;;
"Schildersbuurt Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19801101";"1";0,8;1,5;6,1;11,3;8,7;0,8;2,9;1;1;7;11,4;0;0;2;;;;;
"Schildersbuurt Noord";"Dijk en Waard                           ";"Buurt     ";"BU19801102";"1";1,2;0,1;5,9;11,8;8,7;1,2;2,8;1;1;7;11,3;0;0;2;;;;;
"Planetenwijk";"Dijk en Waard                           ";"Wijk      ";"WK198012  ";"1";1,1;0,2;7,7;14;7,1;1,1;1,2;1;1,8;7;9,7;0;0,8;2;;;;;
"Planetenwijk";"Dijk en Waard                           ";"Buurt     ";"BU19801201";"1";1,1;0,2;7,7;14;7,1;1,1;1,2;1;1,8;7;9,7;0;0,8;2;;;;;
"Bomen- Recreatiewijk";"Dijk en Waard                           ";"Wijk      ";"WK198013  ";"1";0,5;2,4;9,5;13,8;7,7;1,3;2,2;1;1,2;7;10,3;0;0,2;2;;;;;
"Bomenbuurt";"Dijk en Waard                           ";"Buurt     ";"BU19801301";"1";0,6;2,3;10,3;14;7,5;1,5;2,1;1;1,3;7;10,1;0;0,3;2;;;;;
"Recreatiebuurt";"Dijk en Waard                           ";"Buurt     ";"BU19801302";"1";0,4;2,7;8,6;13,6;7,9;1,1;2,2;1;1;7;10,6;0;0;2;;;;;
"Waarderhout";"Dijk en Waard                           ";"Buurt     ";"BU19801303";"1";1,4;0;9,7;13,2;7,3;1,9;2,7;1;1,6;7;10;0;0,6;2;;;;;
"Heemradenwijk";"Dijk en Waard                           ";"Wijk      ";"WK198014  ";"1";0,5;1,5;7,1;13;8,1;0,5;2,2;1;1;7;10,7;0;0;2;;;;;
"Centrumwaard";"Dijk en Waard                           ";"Buurt     ";"BU19801401";"1";0,4;2;7,6;13,1;7,9;0,4;2;1;1;7;10,5;0;0;2;;;;;
"Heemradenbuurt";"Dijk en Waard                           ";"Buurt     ";"BU19801402";"1";0,6;1,1;6,7;12,8;8,2;0,6;2,3;1;1;7;10,9;0;0;2;;;;;
"Edelstenenwijk";"Dijk en Waard                           ";"Wijk      ";"WK198015  ";"1";0,8;1,2;9,7;14,7;5,9;1,1;1,4;1;4;7;8,6;0;1;2;;;;;
"Edelstenenwijk";"Dijk en Waard                           ";"Buurt     ";"BU19801501";"1";0,8;1,2;9,7;14,7;5,9;1,1;1,4;1;4;7;8,6;0;1;2;;;;;
"Molenwijk";"Dijk en Waard                           ";"Wijk      ";"WK198016  ";"1";0,6;1,3;10,6;14;6,7;0,9;1,9;1;2,3;7;9,3;0;1;2;;;;;
"Molenwijk";"Dijk en Waard                           ";"Buurt     ";"BU19801601";"1";0,6;1,3;10,6;14;6,7;0,9;1,9;1;2,3;7;9,3;0;1;2;;;;;
"Rivierenwijk";"Dijk en Waard                           ";"Wijk      ";"WK198017  ";"1";0,4;1,2;10,1;14;6,3;1,2;2,2;1;3,3;7;8,9;0;1;2;;;;;
"Rivierenwijk";"Dijk en Waard                           ";"Buurt     ";"BU19801701";"1";0,4;1,2;10,1;14;6,3;1,2;2,2;1;3,3;7;8,9;0;1;2;;;;;
"Stadshart";"Dijk en Waard                           ";"Wijk      ";"WK198018  ";"1";0,8;1;9,9;15,6;6,3;0,9;0,8;1;3,3;7;9;0;1;2;;;;;
"Middenwaard";"Dijk en Waard                           ";"Buurt     ";"BU19801801";"1";0,7;1,2;10,3;14,9;6,2;0,6;1;1;3,6;7;8,9;0;1;2;;;;;
"Stationsgebied";"Dijk en Waard                           ";"Buurt     ";"BU19801802";"1";0,9;0,7;9,4;16,8;6,5;1,5;0,4;1;2,9;7;9,1;0;1;2;;;;;
"Beveland";"Dijk en Waard                           ";"Buurt     ";"BU19801803";"1";;;;;;;;;;;;;;;;;;;
"Broekhorn";"Dijk en Waard                           ";"Wijk      ";"WK198019  ";"1";1,7;0,1;4,7;16,4;6,7;2,3;1,4;1;2,5;6,6;9,3;0;0,9;1,6;;;;;
"Broekhorn";"Dijk en Waard                           ";"Buurt     ";"BU19801901";"1";1,7;0;4,5;16,3;6,8;2,3;1,4;1;2,4;6,6;9,5;0;0,8;1,6;;;;;
"De Scheg";"Dijk en Waard                           ";"Buurt     ";"BU19801902";"1";;;;;;;;;;;;;;;;;;;
"Westpoort";"Dijk en Waard                           ";"Buurt     ";"BU19801903";"1";0,8;1;7;18,5;4,9;1,8;1,5;1;4;7;7,5;0;1;2;;;;;
"Bedrijventerrein Heerhugowaard";"Dijk en Waard                           ";"Wijk      ";"WK198020  ";"1";1,5;0;5,5;12,8;8,1;1,7;2,2;1;1,2;7;10,7;0;0,2;2;;;;;
"Zandhorst I";"Dijk en Waard                           ";"Buurt     ";"BU19802001";"1";2,2;0;2,2;14,7;7,4;2,8;1,9;1;1,3;7;10,1;0;0,3;2;;;;;
"Zandhorst II";"Dijk en Waard                           ";"Buurt     ";"BU19802002";"1";2,7;0;1,8;12,4;8,7;2,9;3,1;1;1;7;11,4;0;0;2;;;;;
"Zandhorst III";"Dijk en Waard                           ";"Buurt     ";"BU19802003";"1";2,2;0;2,1;11,4;9,3;2,5;3,7;1;1;7;11,9;0;0;2;;;;;
"De Frans";"Dijk en Waard                           ";"Buurt     ";"BU19802004";"1";1,2;0;7;13,3;7,6;1,3;1,6;1;1,2;7;10,2;0;0,2;2;;;;;
"De Vaandel Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802005";"1";2,5;0;1,8;10,5;10,1;2,6;4,3;1;1;6,6;12,8;0;0;2;;;;;
"Butterhuizen";"Dijk en Waard                           ";"Wijk      ";"WK198021  ";"1";0,5;1;6,9;15,3;5,2;1,9;2,3;1;4;6,9;7,8;0;1;1,9;;;;;
"Butterhuizen Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802101";"1";0,5;1;7;15,5;5,3;1,8;2,2;1;4;6,9;7,9;0;1;1,9;;;;;
"Butterhuizen Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19802102";"1";0,6;1;6,5;14,6;5;2,2;2,7;1;4;6,5;7,6;0;1;1,5;;;;;
"Oostertocht";"Dijk en Waard                           ";"Wijk      ";"WK198022  ";"1";1,4;0,1;8,5;12,2;6,6;1,5;3,1;1;2,5;7;9,2;0;1;2;;;;;
"Oostertocht Noord";"Dijk en Waard                           ";"Buurt     ";"BU19802201";"1";1,4;0;9,2;12,4;6,6;1,6;2,9;1;2,5;7;9,2;0;1;2;;;;;
"Oostertocht Zuid";"Dijk en Waard                           ";"Buurt     ";"BU19802202";"1";1,3;0,2;8;12;6,6;1,4;3,2;1;2,5;7;9,2;0;1;2;;;;;
"Zuidwijk";"Dijk en Waard                           ";"Wijk      ";"WK198023  ";"1";0,8;1,8;6,9;13,1;5,4;0,9;3,3;1;4;7;8;0;1;2;;;;;
"Zuidwijk";"Dijk en Waard                           ";"Buurt     ";"BU19802301";"1";0,8;1,8;6,9;13,1;5,4;0,9;3,3;1;4;7;8;0;1;2;;;;;
