"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";4,9;0;0;0,8;15,9;4,9;10,3;0;0,2;4,8;15,9;0;0;2;;;;;
"Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";4,9;0;0;0,8;15,9;4,9;10,3;0;0,2;4,8;15,9;0;0;2;;;;;
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";;;;;;;;;;;;;;;;;;;
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";5,9;0;0;0,1;15;5,9;11,5;0;0;3,5;15;0;0;1,5;;;;;
"Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";5,8;0;0;0,1;15;5,8;11,4;0;0;3,6;15;0;0;1,5;;;;;
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";7,1;0;0;0;14,5;7,1;11,9;0;0;2,7;14,5;0;0;1,4;;;;;
"Wijk 09 Oud-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";5,9;0;0;0;16,4;6,1;10,8;0;0;4,4;16,4;0;0;1,4;;;;;
"Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";5,9;0;0;0;16,4;6,1;10,8;0;0;4,4;16,4;0;0;1,4;;;;;
"Verspreide huizen Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";;;;;;;;;;;;;;;;;;;
"Wijk 11 Annerveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";6,3;0;0;0;12,9;6,7;9,2;0;1;2;12,9;0;0;1;;;;;
"Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";6,3;0;0;0;12,9;6,7;9,2;0;1;2;12,9;0;0;1;;;;;
"Verspreide huizen Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";;;;;;;;;;;;;;;;;;;
"Wijk 12 Eexterveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";4,7;0;0;0,8;10,1;6,4;8,2;0;1,4;2;10,1;0;0,4;1;;;;;
"Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";4,8;0;0;0,7;10,1;6,4;8,2;0;1,4;2;10,1;0;0,4;1;;;;;
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";;;;;;;;;;;;;;;;;;;
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";4,5;0;0;1,3;13,9;4,5;12,5;0;0;3,6;13,9;0;0;2;;;;;
"Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";4,5;0;0;1,3;13,9;4,5;12,6;0;0;3,7;13,9;0;0;2;;;;;
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";4,5;0;0;1,2;13,8;4,5;12,5;0;0;3,4;13,8;0;0;1,8;;;;;
"Wijk 14 Gasselte";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";4;0;0,1;2;10,6;4;10,6;0;0,1;3,3;10,6;0;0,1;2;;;;;
"Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";4,1;0;0;1,9;10,5;4,1;10,5;0;0,1;3,2;10,5;0;0,1;2;;;;;
"Kostvlies";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";3,5;0;0;2,7;10,3;3,5;10,3;0;0,3;3,7;10,3;0;0,3;2;;;;;
"Verspreide huizen Gasselte";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";3;0;0,7;1,9;11,5;3;11,5;0;0,1;3,7;11,5;0;0,1;1,9;;;;;
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";0,7;0,9;1;1;6,2;0,7;6,2;0;1;2;6,2;0;1;1;;;;;
"Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";0,6;0,9;1;1;6,2;0,6;6,2;0;1;2;6,2;0;1;1;;;;;
"Gasselterboerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";1,6;0;1;1;7,6;1,6;7,6;0;1;2;7,6;0;1;1;;;;;
