Model,Feature Set,Balanced Accuracy,F1-Score,AUC-ROC,Threshold
GAT-GRU,T,0.873679983622821,0.7903913211933359,0.9461720706108373,0.658277153968811
GAT-GRU,T+O+W,0.8727323905957198,0.8256257955027577,0.9544558524794104,0.7938980460166931
GAT-GRU,T+O+W+S,0.8565634694423885,0.7884057971014493,0.9385828228587626,0.5664004683494568
GAT-LSTM,T,0.8787848605577689,0.8128514056224899,0.9497225327937263,0.4426281452178955
GAT-LSTM,T+O+W,0.8614470969875438,0.8055908513341804,0.9485290458718486,0.783993661403656
GAT-LSTM,T+O+W+S,0.8750724375226367,0.8197264815582262,0.9574716155142277,0.7758511900901794
GAT-only,T,0.7947241878885831,0.6587851610273135,0.8783804001223081,0.6188888549804688
GAT-only,T+O+W,0.7731173284410082,0.6064901156284969,0.8563057848832977,0.7372742891311646
GAT-only,T+O+W+S,0.849552082878318,0.7679509632224168,0.9409754073297515,0.8012669086456299
